,Unnamed: 0,generated events
0,0,"

Trigger1: passed
Trigger2: protect"
1,1,"

(Agreed, Reduce)
(Open, Markets)"
2,2,"

(passed, increase)
(passed, create)
(passed, promote)
(passed, reduce)
(passed, reduce)
(passed, improve)"
3,3,"

Trigger1: introduced
Trigger2: combat"
4,4,"

Trigger1: introducing
Trigger2: protect"
5,5,"

(voted, impose)
(introducing, protect)
(introducing, ensure)
(introducing, promote)"
6,6,"

(Introducing, Protect)
(Introducing, Promote)"
7,7,"

(passed, increase)
(implemented, provide)
(passed, protect)
(implemented, provide)"
8,8,"

(introduced, protect)
(introduced, recognize)
(introduced, promote)
(introduced, ensure)
(introduced, promote)"
9,9,"

Trigger1: passed
Trigger2: ceasefire"
10,10,"

(passed,provide)
(hire,workers)
(invest,clean)
(provide,employee)
(invest,green)
(hire,disabilities)
(invest,infrastructure)
(create,rural)
(invest,renewable)"
11,11,"

(introduced)(protect)"
12,12,"

(implemented, reduce)
(passed, protect)
(introduced, provide)
(passed, increase)
(implemented, reduce)"
13,13,"

(adopted)(reduce)"
14,14,"

passed (trigger1) increase (trigger2)
reduce (trigger1) access (trigger2)
reduce (trigger1) healthcare (trigger2)
reduce (trigger1) legal (trigger2)
increase (trigger1) technology (trigger2)"
15,15,"

Trigger1: passed
Trigger2: protect"
16,16,"

(Tax, Reduce)
(Resolution, End)
(Ruled, Marriage)
(Funding, Increase)
(Tax, Relief)
(Order, Protect)
(Policy, Reduce)"
17,17,"

(passed, protect)
(passed, promote)
(passed, promote)
(passed, promote)
(passed, promote)
(passed, ensure)"
18,18,"

Trigger1: implemented
Trigger2: encourage"
19,19,"

(passed, increase)
(passed, improve)
(passed, reduce)
(passed, reduce)
(passed, reduce)"
20,20,"

Trigger1: launched
Trigger2: promote"
21,21,"

(passed, protect)
(passed, ensure)
(passed, protect)
(passed, ensure)"
22,22,"

Trigger1: (restructuring)
Trigger2: (boost)"
23,23,"

Trigger1: suggest
Trigger2: resign"
24,24,"

Trigger1: passed
Trigger2: reduce"
25,25,"

Trigger1: passed
Trigger2: protect"
26,26,"

Trigger1: passed
Trigger2: reduce"
27,27,"

(introducing, protect)
(introducing, promote)
(introducing, ensure)
(introducing, ensure)
(introducing, promote)"
28,28,"

(passed, protect)
(passed, promote)
(passed, protect)
(passed, promote)
(passed, protect)
(passed, promote)"
29,29,"

Trigger1: passed
Trigger2: protect"
30,30,"

Trigger1: introduced
Trigger2: invest"
31,31,"

(passed, increase)
(passed, reduce)
(passed, reduce)"
32,32,"

(passed, increase)
(passed, reduce)
(passed, reduce)
(passed, reduce)
(passed, reduce)
(passed, reduce)
(passed, reduce)
(passed, reduce)
(passed, reduce)"
33,33,"

(passed, impose)
(passed, pressure)
(passed, embargo)
(passed, sanctions)
(passed, embargo)
(passed, sanctions)"
34,34,"

(introduced, hire)
(introduced, invest)
(introduced, invest)
(introduced, invest)
(launched, growth)
(launched, sustainability)
(launched, equality)
(launched, education)
(launched, healthcare)"
35,35,"

(passed, increase)
(reduce, illnesses)"
36,36,"

(passed, increase)
(passed, reduce)
(passed, reduce)"
37,37,"

(passed, increase)
(passed, reduce)
(passed, reduce)
(passed, reduce)
(passed, reduce)
(passed, reduce)"
38,38,"

(passed, protect)"
39,39,"

Trigger1: voted
Trigger2: impose"
40,40,"

Sign (trigger1) Increase (trigger2)
Implement (trigger1) Provide (trigger2)
Pass (trigger1) Reduce (trigger2)
Introduce (trigger1) Provide (trigger2)
Pass (trigger1) Protect (trigger2)"
0,0,"

Trigger1: imposed
Trigger2: annexation"
1,1,"

(passed, increase)
(passed, provide)
(passed, increase)
(passed, provide)
(passed, provide)"
2,2,"

(passed, stimulate)
(introduced, reduce)
(implemented, improve)
(launched, reduce)
(introduced, protect)
(implemented, improve)
(passed, increase)
(introduced, promote)
(implemented, reduce)
(launched, increase)"
3,3,"

(passed, increase)
(introduced, encourage)
(reduce, combat)
(implemented, provide)
(passed, protect)"
4,4,"

Trigger1: implemented
Trigger2: reduce"
5,5,"

(passed, protect)
(passed, ensure)
(passed, ensure)
(passed, ensure)"
6,6,"

Increase (trigger1) and reduce (trigger2)
Establish (trigger1) and promote (trigger2)
Provide (trigger1) and improve (trigger2)
Provide (trigger1) and reduce (trigger2)
Incentivize (trigger1) and promote (trigger2)
Increase (trigger1) and conserve (trigger2)"
7,7,"

(passed)(protect)"
8,8,"

Trigger1: imposed
Trigger2: pressure"
9,9,"

(passed, increase)"
10,10,"

Trigger1: deploy (Pentagon sources in Washington meanwhile said the Bushadministration plans to deploy 45,000 Marines to the region)
Trigger2: backup (to backup the thousands of Army, Navy and Air Force troops already inplace in the gulf and the Saudi desert.)"
11,11,"

(passed, protect)
(reduce, pollution)
(rights, ensure)"
12,12,"

(passed, increase)
(passed, reduce)
(passed, protect)
(passed, increase)"
13,13,"

Trigger1: launched
Trigger2: promote"
14,14,"

Trigger1: introducing
Trigger2: fund"
15,15,"

(passed, increase)
(passed, reduce)
(passed, reduce)
(passed, support)"
16,16,"

(passed, increase)
(passed, reduce)
(passed, reduce)
(passed, reduce)"
0,0,"

(passed, increase)
(implemented, promote)
(launched, raise)
(introduced, protect)
(implemented, improve)
(passed, increase)
(launched, reduce)"
1,1,"

Trigger1: passed
Trigger2: protect"
2,2,"

Trigger1: launched
Trigger2: promote"
3,3,"

Trigger1: passed
Trigger2: reduce"
4,4,"

(passed, increase)
(implemented, provide)
(passed, increase)
(passed, increase)"
5,5,"

(entice)(diplomatic)"
6,6,"

(implemented,provide)
(passed,increase)"
7,7,"

(introducing, protect)
(reduce, pollution)
(recognize, rights)
(ensure, access)"
8,8,"

(Introducing, Protect)
(Introducing, Reduce)
(Introducing, Promote)"
9,9,"

Trigger1: speech
Trigger2: rally"
10,10,"

(implemented, provide)
(passed, protect)
(implemented, provide)
(passed, protect)"
11,11,"

(passed, increase)
(passed, reduce)
(passed, reduce)
(passed, reduce)"
12,12,"

(increase, reduce)
(increase, improve)
(increase, reduce)
(reduce, combat)
(increase, reduce)
(increase, reduce)
(increase, reduce)
(increase, promote)"
13,13,"

(passed, protect)
(passed, promote)
(passed, protect)
(passed, promote)
(passed, protect)
(passed, promote)
(passed, protect)
(passed, promote)
(passed, protect)
(passed, promote)"
14,14,"

Trigger1: implement
Trigger2: stimulate"
15,15,"

Trigger1: passed
Trigger2: reduce"
16,16,"

(passed, increase)
(passed, reduce)
(passed, reduce)
(passed, reduce)
(passed, reduce)"
17,17,"

(increase,funding)
(increase,training)
(increase,housing)
(increase,parks)
(increase,safety)
(increase,discrimination)
(increase,transportation)"
18,18,"

Trigger1: (restructuring)
Trigger2: (increase)"
19,19,"

Trigger1: pump
Trigger2: reap"
20,20,"

(passed, increase)
(passed, reduce)
(passed, reduce)
(passed, improve)
(passed, combat)"
21,21,"

(passed, protect)
(passed, ensure)
(passed, access)
(passed, equal)
(passed, reproductive)"
22,22,"

(Introducing, Protect)
(Introducing, Ensure)
(Introducing, Promote)"
23,23,"

Trigger1: passed (Trigger2: increase)
Trigger1: reduce (Trigger2: cost)"
24,24,"

(passed, increase)
(implemented, provide)"
25,25,"

(passed, condemning)
(launched, liberate)
(passed, ceasefire)
(passed, establish)
(passed, establish)
(passed, establish)
(passed, establish)
(passed, establish)
(passed, establish)
(passed, establish)
(passed, establish)"
26,26,"

(passed, increase)
(passed, reduce)
(passed, reduce)
(passed, reduce)"
27,27,"

(passed, increase)
(passed, reduce)
(passed, reduce)
(passed, reduce)"
28,28,"

Trigger1: passed
Trigger2: reduce"
29,29,"

(passed, protect)
(ensure, equal)"
30,30,"

(destroy,regime)"
31,31,"

Trigger1: introduced
Trigger2: promote"
32,32,"

(passed)(increase)"
33,33,"

(passed, increase)
(passed, reduce)
(passed, reduce)
(passed, reduce)
(passed, ensure)"
34,34,"

(implemented, reduce)
(implemented, make)
(implemented, reduce)
(implemented, make)
(implemented, reduce)
(implemented, make)
(implemented, reduce)
(implemented, make)
(implemented, reduce)
(implemented, make)"
35,35,"

Trigger1: implemented
Trigger2: reduce"
36,36,"

passed (trigger1) reduce (trigger2)
implemented (trigger1) reduce (trigger2)
introduced (trigger1) reduce (trigger2)
implemented (trigger1) reduce (trigger2)
passed (trigger1) reduce (trigger2)
implemented (trigger1) reduce (trigger2)"
37,37,"

passed (trigger1) increase (trigger2)
access (trigger1) reduce (trigger2)
access (trigger1) improve (trigger2)
access (trigger1) reduce (trigger2)
access (trigger1) protect (trigger2)
access (trigger1) promote (trigger2)
access (trigger1) improve (trigger2)"
38,38,"

(introduced,raise)
(passed,protect)
(implemented,reduce)
(passed,protect)
(passed,protect)
(passed,protect)
(passed,protect)
(passed,promote)"
39,39,"

(passed)(protect)"
40,40,"

(passed, increase)
(passed, reduce)
(passed, improve)
(passed, provide)
(passed, increase)"
41,41,"

passed (law) (reduce)
passed (law) (increase)
passed (law) (provide)
passed (law) (increase)
passed (law) (provide)
passed (law) (reduce)
passed (law) (provide)
passed (law) (increase)
passed (law) (provide)
passed (law) (provide)
passed (law) (increase)
passed (law) (provide)
passed (law) (provide)
passed (law) (invest)
passed (law) (provide)
passed (law) (hire)
passed (law) (invest)
passed (law) (provide)
passed (law) (invest)
passed (law) (hire)
passed (law) (invest)
passed (law) (invest)"
42,42,"

Trigger1: introduced
Trigger2: create"
43,43,"

(passed, increase)
(passed, reduce)
(passed, reduce)
(passed, reduce)
(passed, reduce)
(passed, increase)
(passed, reduce)
(passed, reduce)"
44,44,"

(implemented, provide)
(introduced, provide)
(passed, increase)"
45,45,"

Trigger1: passed
Trigger2: protect"
46,46,"

(introducing, revenue)
(introducing, protect)
(introducing, protect)
(introducing, protect)
(introducing, protect)
(introducing, protect)
(introducing, protect)
(introducing, ensure)"
47,47,"

(passed, increase)
(passed, reduce)
(passed, reduce)
(passed, reduce)
(passed, reduce)
(passed, reduce)"
48,48,"

(signed, protect)
(introducing, protect)
(introducing, promote)
(introducing, ensure)
(introducing, ensure)"
49,49,"

Trigger1: implemented
Trigger2: promote"
50,50,"

(introducing, protect)
(protect, ensure)
(protect, ensure)
(protect, ensure)
(protect, ensure)"
51,51,"

Trigger1: passed
Trigger2: protect"
52,52,"

Trigger1: introduced
Trigger2: provide"
53,53,"

(implemented, provide)
(passed, increase)"
54,54,"

(Introducing, Protect)
(Ensure, Fair)
(Promote, Inclusion)
(Promote, Tolerance)"
55,55,"

Trigger1: introduced
Trigger2: protect"
56,56,"

(Introducing, Protect)
(Ensure, Equal)"
57,57,"

(passed, increase)
(passed, reduce)
(passed, improve)
(passed, reduce)
(passed, reduce)
(passed, reduce)
(passed, improve)"
58,58,"

(passed, increase)
(effort, reduce)"
59,59,"

(passed, increase)
(passed, reduce)
(passed, reduce)
(passed, reduce)
(passed, reduce)
(passed, promote)"
60,60,"

(passed, increase)
(increase, reduce)
(increase, improve)
(increase, reduce)
(increase, reduce)"
61,61,"

passed (increase)
introduced (fund)
implemented (reduce)
passed (protect)
introduced (provide)
passed (protect)
implemented (promote)
passed (protect)
launched (promote)
passed (protect)"
62,62,"

(passed, protect)
(passed, ensure)
(passed, housing)
(passed, education)
(passed, employment)
(passed, public)
(passed, credit)
(passed, health)
(passed, insurance)
(passed, criminal)"
63,63,"

(passed, increase)
(passed, reduce)
(passed, increase)
(passed, improve)"
64,64,"

Trigger1: launched
Trigger2: promote"
65,65,"

Trigger1: implemented
Trigger2: encourage"
66,66,"

Trigger1: proposed
Trigger2: reduce"
67,67,"

(passed, increase)
(retraining, reduce)"
