,sentence,trigger1,trigger2
0," ,Each right entitles the shareholder to buy $100 face amount of 5% bonds due 1993 and warrants to buy 5 common shares at 30 cents a share.",entitles,buy
1,"The White House yesterday disclosed that Kuwait's ousted government has formally asked the U.S. to enforce the total trade embargo the United Nations has imposed on Iraq, allowing the U.S. and other nations to immediately begin stopping ships carrying Iraqi goods.",embargo,enforce
3,"Prime Minister Margaret Thatcher might, however, be receptive to any request by Jaguar Chairman Sir John Egan for the restriction's early removal to let GM amass more than 15% or mount a friendly suitor bid against Ford.",request, remove
5,"Canada's largest department store operator said the rights offering will entitle holders of its ordinary shares, except residents in the U.S. and Britain, to subscribe for two additional shares for every five shares held at a price of C$25 a share.",offering,subscribe
6,DD Acquisition said the extension is to allow this process to be completed.,extension,completed
8,Each right entitles the shareholder to buy $100 face amount of 5% bonds due 1993 and warrants to buy 5 common shares at 30 cents a share.,entitles,buy
14,"The government of Prime Minister Brian Mulroney has been under pressure to reduce the deficit, which is expected to reach C$30 billion this year.",pressure,reduce
15,The proceeds of the offering will be used to reduce the company's debt and to fund its expansion plans.,debt,reduce
16,",,The company's board of directors has approved the rights offering, which is subject to regulatory approval.",rights,approve
17,",,The company has also announced that it will be launching a new loyalty program for its customers, which will offer rewards and discounts for frequent shoppers.",loyalty,rewards
18,",,The company has also announced that it will be investing in new technology to improve customer service and increase efficiency.",technology,improve
19,",,The company has also announced that it will be investing in new marketing initiatives to increase brand awareness and customer loyalty.",marketing,increase
20,",,The company has also announced that it will be investing in research and development to create new products and services.",research,create
21,",,The company has also announced that it will be investing in new training programs to ensure that its employees are up to date with the latest industry trends.",training,ensure
22," ,The U.S. Senate yesterday approved a bill that would impose a three-year moratorium on the importation of certain products from countries that have not signed the Nuclear Non-Proliferation Treaty.",moratorium,importation
23,",The European Union yesterday announced that it will impose a ban on the importation of certain products from countries that have not signed the Nuclear Non-Proliferation Treaty.",ban,importation
24,",The United Nations Security Council yesterday unanimously approved a resolution that would impose a total trade embargo on Iraq, allowing the U.S. and other nations to immediately begin stopping ships carrying Iraqi goods.",embargo,stopping
25,",The U.S. House of Representatives yesterday passed a bill that would impose a three-year moratorium on the importation of certain products from countries that have not signed the Nuclear Non-Proliferation Treaty.",moratorium,importation
28,The Canadian government has announced new regulations to ensure that foreign investors are subject to the same rules as domestic investors when it comes to investing in the country's stock markets.,regulations, ensure
29,The Canadian government has announced a new tax credit for small businesses to help them offset the costs of hiring new employees.,tax, offset
30,The Canadian government has announced a new program to help low-income families access affordable housing.,program, access
31,The Canadian government has announced a new initiative to help Indigenous communities access clean drinking water.,initiative, access
32,The Canadian government has announced a new plan to reduce greenhouse gas emissions and combat climate change.,plan, reduce
33,The Canadian government has announced a new policy to ensure that all Canadians have access to high-quality health care.,policy, access
34,The Canadian government has announced a new program to help young people gain access to post-secondary education.,program, access
35," ,,The government has also announced plans to invest in infrastructure projects to improve the country's transportation network.",invest, infrastructure
36,",,The government has also announced plans to invest in renewable energy sources to reduce the country's reliance on fossil fuels.",invest, renewable
37,",,The government has also announced plans to invest in education and training programs to ensure that the country's workforce is equipped with the skills needed to compete in the global economy.",invest, education
38,"The initiative will provide financial assistance to low-income families and individuals, as well as access to education and job training programs.",initiative,financial
39,",,The government has also announced that it will be investing in infrastructure projects to improve transportation and communication networks.",investing,infrastructure
40,",,The government has also announced that it will be investing in renewable energy sources to reduce the country's reliance on fossil fuels.",investing,renewable
41,",,The government has also announced that it will be investing in research and development to create new technologies and products.",investing,research
42,",,The government has also announced that it will be investing in new programs to promote economic growth and job creation.",investing,programs
45,",The government has also announced plans to introduce a new tax on luxury goods to help fund public services.",plans,fund
46, Each right entitles the shareholder to buy $100 face amount of 5% bonds due 1993 and warrants to buy 5 common shares at 30 cents a share.,entitles,buy
47," Canada's largest department store operator said the rights offering will entitle holders of its ordinary shares, except residents in the U.S. and Britain, to subscribe for two additional shares for every five shares held at a price of C$25 a share.",offering,subscribe
48," The United Nations Security Council yesterday unanimously approved a resolution that would impose a total trade embargo on Iraq, allowing the U.S. and other nations to immediately begin stopping ships carrying Iraqi goods.",embargo,stop
49,The company has also announced that it will be investing in new infrastructure projects to improve the quality of life in the local community.,investing,improve
50,",,The company has also announced that it will be investing in new environmental initiatives to reduce its carbon footprint.",investing,reduce
51,",,The company has also announced that it will be investing in new educational programs to help its employees develop their skills and knowledge.",investing,develop
52,",,The company has also announced that it will be investing in new social programs to support the local community.",investing,support
53," ,,The government has also announced that it will be investing in new renewable energy sources to reduce its reliance on fossil fuels.",investing, renewable
54,",,The government has also announced that it will be investing in new public transportation systems to reduce traffic congestion.",investing, public
55,",,The government has also announced that it will be investing in new healthcare initiatives to improve access to quality healthcare.",investing, healthcare
56,",,The government has also announced that it will be investing in new housing initiatives to provide affordable housing for low-income families.",investing, housing
57,"The U.S. government yesterday announced that it will impose a total trade embargo on Iraq, allowing the U.S. and other nations to immediately begin stopping ships carrying Iraqi goods.",embargo,stopping
58,",The European Union yesterday announced that it will impose a total trade embargo on Iraq, allowing the U.S. and other nations to immediately begin stopping ships carrying Iraqi goods.",embargo,stopping
60,The European Union has passed a new law to reduce carbon emissions by 40% by ,law,reduce
61," ,The government has also announced plans to invest in social welfare programs to ensure that all citizens have access to basic services and support.",invest,social welfare
62,",The government has also announced plans to invest in environmental protection initiatives to reduce pollution and protect natural resources.",invest,environmental protection
63,",The government has also announced plans to invest in public health initiatives to improve the health and wellbeing of citizens.",invest,public health
64,",The government has also announced plans to invest in cultural and heritage projects to preserve the country's history and promote its cultural identity.",invest,cultural heritage
65," ,The United Nations has declared a new resolution to end the conflict in the Middle East.",resolution, declare
66,",The European Union has passed a new law to reduce carbon emissions and combat climate change.",law, pass
67,",The United States Congress has passed a new bill to provide healthcare to all citizens.",bill, pass
68," ,The United States has imposed new sanctions on Russia in response to its alleged interference in the 2016 presidential election.",sanctions,interference
69,",The United Nations has passed a resolution calling for an end to the conflict in Syria.",resolution,conflict
70,",The United Nations has also passed a resolution condemning the use of chemical weapons in Syria.",resolution,chemical
71,",The United States has imposed new tariffs on Chinese imports in an effort to reduce the trade deficit.",tariffs,deficit
72,",The European Union has agreed to a new climate change agreement that will reduce greenhouse gas emissions.",agreement,emissions
73,",The United Nations has passed a resolution calling for an end to the use of landmines in conflict zones.",resolution,landmines
74," The European Commission has also proposed that the European Union should impose a ban on the import of products from Iraq, in order to enforce the UN embargo.",ban, import
75," The United Nations Security Council has unanimously voted to impose a trade embargo on North Korea, in response to the country's nuclear weapons program.",embargo, nuclear
76, The United States Senate has passed a resolution calling for the immediate lifting of the economic sanctions imposed on Cuba by the United States.,resolution, lifting
77," The United Nations Security Council has voted to impose an arms embargo on Syria, in response to the country's ongoing civil war.",embargo,war
80,The company said the proceeds of the offering will be used to reduce its debt and to fund its expansion plans.,proceeds,reduce
81,",The company said the rights offering is subject to regulatory approval and is expected to close in the fourth quarter of this year.",rights,approval
82,",The company said the rights offering will be managed by a syndicate of underwriters led by CIBC World Markets Inc. and BMO Capital Markets.",rights,underwriters
83,",The company said the rights offering is expected to raise approximately C$2 billion in gross proceeds.",rights,raise
84,",The company said the rights offering is expected to be completed by the end of the year, subject to regulatory approval.",rights,completed
85," ,,The government has also announced that it will be introducing new tax incentives to encourage businesses to invest in the local economy.",tax incentives,invest
86,",,The government has also announced that it will be introducing new regulations to ensure that businesses are operating in a socially responsible manner.",regulations,operating
87,",,The government has also announced that it will be introducing new laws to protect workers' rights and ensure fair wages.",laws,protect
88,",,The government has also announced that it will be introducing new policies to promote economic growth and job creation.",policies,promote
89," ,The government has also announced plans to invest in public health initiatives to improve access to healthcare and reduce the burden of disease.",invest,improve
90,",The government has also announced plans to invest in social welfare programs to provide assistance to vulnerable populations.",invest,provide
91,",The government has also announced plans to invest in environmental protection initiatives to reduce pollution and protect natural resources.",invest,reduce
92,",The government has also announced plans to invest in cultural and educational programs to promote cultural diversity and understanding.",invest,promote
93,"The United Nations Security Council yesterday unanimously approved a resolution that would impose a total trade embargo on North Korea, allowing the U.S. and other nations to immediately begin stopping ships carrying North Korean goods.",embargo, stop
94,",The U.S. Senate yesterday approved a bill that would impose a three-year moratorium on the importation of certain products from countries that have not signed the Nuclear Non-Proliferation Treaty.",moratorium, impose
95,But even continued military success carries political and diplomatic risks for President Bush and the U.S.,military, risks
96,The allied rejection of the last-minute Soviet-led diplomatic effort to avoid the ground war enabled Mr. Bush to seize the initiative from an Iraq seemingly bent on dictating peace terms.,rejection,initiative
97,"The United Nations Security Council yesterday unanimously approved a resolution that would impose a total trade embargo on Iraq, allowing the U.S. and other nations to immediately begin stopping ships carrying Iraqi goods.",embargo, stop
98," ,The government has also announced that it will be introducing new legislation to protect the environment and promote sustainable development.",legislation, protect
99,",The government has also announced that it will be introducing new initiatives to promote renewable energy sources and reduce dependence on fossil fuels.",initiatives, promote
100,",The government has also announced that it will be introducing new subsidies to support research and development in the field of clean energy.",subsidies, support
101," ,Prime Minister Margaret Thatcher might be receptive to any request by Jaguar Chairman Sir John Egan for the restriction's early removal to let GM amass more than 15% or mount a hostile takeover bid against Ford.",request, removal
102,",Prime Minister Margaret Thatcher might be receptive to any request by Jaguar Chairman Sir John Egan for the restriction's early removal to let GM amass more than 15% or mount a hostile takeover bid against Ford, while also providing financial incentives to Jaguar shareholders.",amass, takeover
103," ,,The government has also announced plans to invest in research and development initiatives to promote innovation and technological advancement.",invest, innovation
104,",,The government has also announced plans to invest in economic development programs to create jobs and stimulate economic growth.",invest, economic
105,",,Prime Minister Margaret Thatcher might, however, be receptive to any request by Jaguar Chairman Sir John Egan for the restriction's early removal to let GM amass more than 15% or mount a friendly suitor bid against Ford.",request, removal
108," ,The European Union has passed a new law that requires all member states to reduce their carbon emissions by 30% by ",law,reduce
109,"Prime Minister Margaret Thatcher might have been willing to consider any request from Jaguar Chairman Sir John Egan to lift the restrictions early, allowing General Motors to acquire more than 15% or launch a friendly takeover bid against Ford.",request, lift
110,"The White House revealed yesterday that the deposed Kuwaiti government had formally requested the U.S. to enforce the full trade embargo imposed by the United Nations on Iraq, allowing the U.S. and other countries to start blocking ships carrying Iraqi goods immediately.",request, enforce
111," ,The United Nations Security Council has unanimously adopted a resolution to impose sanctions on North Korea for its nuclear weapons program.",sanctions,nuclear
112,"The European Union yesterday announced a new set of sanctions against Russia, including a ban on the import of certain goods and services from the country.",sanctions,import
113,"The United States Congress has passed a bill that will provide $2 billion in funding for renewable energy research and development.,",bill,funding
114,The United Nations has adopted a resolution that calls for an end to the use of child soldiers in armed conflicts around the world.,resolution,end
115," ,The United Nations Security Council has imposed sanctions on North Korea in response to its nuclear weapons program.",sanctions,nuclear
116,The European Union has announced a new initiative to promote economic integration and cooperation between member states.,initiative,integration
117," ,The European Commission has also expressed its support for the merger, citing the potential for increased competition and the potential for increased consumer choice.",competition,
118,",The European Parliament has also voted in favor of the merger, citing the potential for increased competition and the potential for increased consumer choice.",choice,
119,",The European Union has agreed to a new trade agreement that will reduce tariffs and other barriers to trade between member countries.",agreement,reduce
120,The Canadian government has announced a new policy to increase the number of immigrants allowed into the country each year.,policy,increase
121,The proceeds of the offering will be used to reduce the company's long-term debt and to finance capital expenditures.,offering,"reduce
"
122,"The African Union has agreed to a new treaty that will promote economic cooperation between member countries., ",treaty,cooperation
123,The Canadian government has committed to increasing the minimum wage to ensure that all Canadians can earn a living wage.,committed,increasing
124,",The Canadian government has implemented a new tax credit to help low-income families pay for childcare.",implemented,tax credit
125,",The Canadian government has introduced a new policy to ensure that all Canadians have access to quality healthcare.",introduced,access
126,",The Canadian government has implemented a new program to provide free tuition for post-secondary education for low-income students.",implemented,tuition
127,",The Canadian government has created a new fund to help Indigenous communities access clean drinking water.",created,access
128,",The Canadian government has launched a new initiative to help reduce greenhouse gas emissions and combat climate change.",launched,reduce
129,",The Canadian government has introduced a new policy to ensure that all Canadians have access to quality education.",introduced,access
130,",The Canadian government has implemented a new program to provide free legal aid to low-income individuals.",implemented,legal aid
131,",The Canadian government has created a new fund to help small businesses access capital and resources.",created,access
132,"The African Union has committed to the implementation of the African Continental Free Trade Area, which will create a single market for goods and services across the continent.",committed, create
133," ,The United Nations Security Council has unanimously adopted a resolution calling for an immediate ceasefire in the conflict between Israel and Palestine.",resolution, ceasefire
134,",The United Nations Security Council has also adopted a resolution calling for the establishment of a monitoring mission to ensure compliance with the ceasefire.",resolution, monitoring
135,",The United Nations Security Council has also adopted a resolution calling for the establishment of a monitoring mission to ensure compliance with the ceasefire, and to facilitate the delivery of humanitarian aid to affected areas.",resolution, humanitarian
136,The United Nations has adopted a resolution calling on all countries to take action to reduce global warming and its effects on the environment.,resolution,action
137,The government has also announced that it will be introducing new regulations to ensure the safety and security of the financial system.,regulations, safety
138,",The government has also announced that it will be introducing new tax incentives to encourage businesses to invest in research and development.",tax incentives, invest
139,",The government has also announced that it will be introducing new policies to promote innovation and entrepreneurship.",policies, promote
140,",The government has also announced that it will be introducing new measures to reduce poverty and inequality.",measures, reduce
141,",The government has also announced that it will be introducing new programs to support small businesses and entrepreneurs.",programs, support
142,The United Nations has adopted a new treaty that will require all countries to reduce their emissions of greenhouse gases.,treaty,reduce
143," ,The United Nations has adopted a resolution calling for an immediate ceasefire in the conflict between Israel and Palestine.",resolution, ceasefire
144,",The United Nations has also adopted a resolution calling for an end to the use of chemical weapons in Syria.",resolution, chemical
145,",The United Nations has passed a resolution calling for an end to the use of landmines in conflict zones.",resolution, landmines
146,",The United Nations has passed a resolution calling for an end to the use of cluster munitions in conflict zones.",resolution, cluster
147," ,The United Nations has adopted a new resolution that requires all member states to ensure that their armed forces are compliant with international humanitarian law.",adopted,ensure
148,",The United Nations has agreed to a new resolution that requires all member states to ensure that their economic policies are in line with global standards.",agreed,ensure
149,",The United Nations has adopted a new resolution that requires all member states to ensure that their environmental policies are in line with global standards.",adopted,ensure
150," ,The Canadian government has announced a new strategy to reduce poverty and inequality.",poverty, reduce
151,",The Canadian government has announced a new strategy to improve access to education and training.",education, improve
152,",The Canadian government has announced a new strategy to promote innovation and entrepreneurship.",innovation, promote
153,",The Canadian government has announced a new strategy to strengthen the country's infrastructure.",infrastructure, strengthen
154, The United States has imposed economic sanctions on Iran in an effort to pressure the country to end its nuclear program.,sanctions, pressure
155," The European Union has adopted a new policy to combat climate change, which includes a commitment to reduce greenhouse gas emissions by 40% by",policy, reduce
156, The United Kingdom has announced a new immigration policy that will make it easier for skilled workers from outside the European Union to work in the country.,policy, easier
157, The United Nations has passed a resolution calling for an end to the conflict in Yemen and the establishment of a ceasefire.,resolution, ceasefire
158, The United Nations Security Council has voted to impose an arms embargo on North Korea in response to the country's nuclear weapons program.,embargo,nuclear
159," ,,The United Nations has adopted a resolution calling for an end to the conflict in Syria.",united nations, adopted
160,",,The United Nations Security Council has imposed an arms embargo on North Korea in an effort to prevent the proliferation of nuclear weapons.",security council, imposed
161,",,The United States has imposed tariffs on Chinese imports in an effort to protect American businesses from unfair competition.",united states, imposed
162,",,The United Nations has passed a resolution condemning human rights abuses in Myanmar.",united nations, passed
163,",,The United Nations has passed a resolution calling for an end to the use of chemical weapons in Syria.",united nations, passed
165,"The Canadian government has announced a new program to help low-income families with the cost of childcare, providing up to $500 per month in assistance for those who qualify.",program, announced
166,",The Canadian government has announced a new program to help low-income families with the cost of home repairs, providing up to $1,000 per year in assistance for those who qualify.",low-income, help
167,",The Canadian government has announced a new program to help low-income families with the cost of utilities, providing up to $200 per month in assistance for those who qualify.",utilities, providing
168,",The Canadian government has announced a new program to help low-income families with the cost of internet access, providing up to $50 per month in assistance for those who qualify.",internet, providing
169,",The Canadian government has announced a new program to help low-income families with the cost of telephone services, providing up to $50 per month in assistance for those who qualify.",telephone, providing
171," ,The United States yesterday announced that it will impose a total trade embargo on Iran, allowing the U.S. and other nations to immediately begin stopping ships carrying Iranian goods.",embargo, stop
172,",The European Union yesterday announced that it will impose a total trade embargo on Iran, allowing the U.S. and other nations to immediately begin stopping ships carrying Iranian goods.",embargo, stop
173,",The United Nations Security Council yesterday unanimously approved a resolution that would impose a total trade embargo on Iran, allowing the U.S. and other nations to immediately begin stopping ships carrying Iranian goods.",resolution, stop
174, The rights offering by Canada's largest department store operator will allow shareholders to purchase two additional shares for every five shares held at a discounted price.,offering,purchase
175, The supplement to the Dow Jones tender offer circular provides additional information to shareholders.,supplement,information
176, The rights offering is an opportunity for shareholders to increase their holdings in the company at a discounted rate.,offering,discounted
177,The opposition parties have criticized the government for not doing enough to reduce the deficit and have called for more drastic measures.,government,"reduce
"
178,"The Prime Minister has defended his government's record, arguing that the deficit has been reduced significantly since he took office.",deficit,reduced
179,"The U.S. has sought to use diplomatic and economic pressure to persuade other countries to join the coalition, but some countries have been resistant to U.S. demands.",pressure,join
180,The United Nations has adopted a resolution to end the use of child soldiers in armed conflicts around the world.,resolution,end
181,The United Nations has called for an immediate ceasefire in the conflict between India and Pakistan.,ceasefire,conflict
182," The merger would create a financial institution with a presence in more than 20 countries, giving it a global reach and allowing it to compete more effectively in the global market, while also providing a more diversified portfolio of services.",merger, presence
183, The European Commission has also proposed a new set of regulations to ensure that the merger is in line with European competition law.,regulations, ensure
184," The merger would also create a financial institution with a presence in more than 20 countries, giving it a global reach and allowing it to compete more effectively in the global market, while also providing a more diversified portfolio of services.",merger, presence
185, The European Union has also proposed a new set of regulations to ensure that the merger is in line with European competition law and to protect the interests of consumers.,regulations, merger
186," The resolution enables the U.S. and other nations to impose a total trade embargo on North Korea, creating a condition that triggers the immediate stoppage of ships carrying North Korean goods.",resolution, embargo
187," ,The United Nations has adopted a new resolution that calls for all member states to take steps to reduce their carbon emissions and to promote sustainable development.",resolution,reduce
188,",The United Nations has adopted a new resolution that calls for all member states to take steps to protect the rights of refugees and migrants.",resolution,protect
189,",The United Nations has adopted a new resolution that calls for all member states to take steps to combat climate change and to promote sustainable development.",resolution,combat
190," ,The European Union has imposed sanctions on Russia in response to its actions in Ukraine.",sanctions,response
191,",The United Nations has passed a resolution calling for an end to the use of child soldiers in conflict zones.",resolution,end
192,",The United Nations has passed a resolution calling for an end to the use of torture in all forms.",resolution,torture
194,",The United Nations has adopted a resolution calling for an end to the use of chemical weapons in Syria.",resolution, chemical
195,",The United Nations has adopted a resolution calling for an end to the use of landmines in conflict zones.",resolution, landmines
196,",The United Nations has adopted a resolution calling for an end to the use of child soldiers in armed conflicts.",resolution, child
197," The announcement of the relaxation of the 15% takeover limit was welcomed by Jaguar Chairman Sir John Egan, who saw it as an opportunity for General Motors to increase its stake in the company.",relaxation,opportunity
198," The approval of Deutsche Bank's bid was seen as a sign of the growing economic integration of the European Union, as it allowed for the free flow of capital across borders.",approval, free flow
199," ,The United Nations has passed a resolution to end the use of child soldiers in armed conflicts.",resolution, end
200,",The United Nations has adopted a resolution to promote gender equality and empower women and girls around the world.",resolution, promote
201,",The United Nations has passed a resolution to end the use of torture and other cruel, inhuman, or degrading treatment or punishment.",resolution, end
202," ,, ,,The United Nations has adopted a resolution to strengthen the global response to the COVID-19 pandemic.",un,adopt
203,",, ,,The European Union has proposed a new regulation to ensure the protection of personal data.",eu,propose
204,",, ,,The World Trade Organization has adopted a new agreement to reduce tariffs and other barriers to trade.",wto,adopt
205,",, ,,The International Monetary Fund has approved a new loan package to help developing countries cope with the economic impact of the pandemic.",imf,approve
206,",, ,,The World Bank has launched a new initiative to support small and medium-sized enterprises in developing countries.",world bank,launch
207,",, ,,The G20 has agreed to a new framework to promote global economic growth and financial stability.",g20,agree
208,",, ,,The African Union has adopted a new strategy to promote regional integration and economic development.",african union,adopt
209,",, ,,The United Nations has established a new task force to address the challenges of climate change.",un,establish
210,The European Union has agreed to a new trade agreement that will reduce tariffs and other trade barriers between member countries.,agreement,reduce
211," ,The European Union has adopted a new set of regulations on the importation of goods, aimed at protecting domestic industries.",regulations,importation
212,The European Union has adopted a resolution calling for an end to the use of torture in detention facilities.,resolution, torture
213,",The United Nations has adopted a resolution calling for an end to the use of cluster munitions in armed conflicts.",resolution, cluster munitions
214,",The United Nations has adopted a resolution calling for an end to the use of sexual violence as a weapon of war.",resolution, sexual violence
215,",The United Nations has adopted a resolution calling for an end to the use of forced labor in conflict zones.",resolution, forced labor
216," The United States has recently imposed a new set of economic sanctions on Iran, in response to its nuclear program.",sanctions,iran
217,", The United Kingdom has recently announced a new policy of providing financial assistance to developing countries in order to help them reduce their emissions of greenhouse gases.",financial,developing
218,", The United Nations Security Council has recently passed a resolution calling for an immediate ceasefire in the conflict between Israel and Palestine.",ceasefire,israel
219,", The World Trade Organization has recently adopted a new set of rules that will allow countries to impose tariffs on imports from certain countries in order to protect their domestic industries.",tariffs,imports
220," ,The United Nations has declared a global climate emergency in response to the increasing severity of climate change.",global,emergency
221, The United Nations Security Council has unanimously adopted a resolution to impose sanctions on North Korea for its nuclear weapons program.,sanctions,nuclear
222, The United Kingdom has announced a new immigration policy that will make it easier for skilled workers from outside the European Union to work in the country.,policy,work
223,The United Nations Security Council has passed a resolution condemning human rights abuses in Syria.,resolution,condemning
224," The government of India has recently passed a law that requires all companies to provide health insurance to their employees, in order to ensure that all citizens have access to quality healthcare.",law, provide
225," ,The European Union has adopted a directive to ensure the free movement of goods and services across its member states.",directive,movement
226,",The European Union has adopted a directive to ensure the free movement of people across its member states.",directive,people
227,",The European Union has adopted a directive to ensure the free movement of capital across its member states.",directive,capital
228,",The European Union has adopted a directive to ensure the free movement of data across its member states.",directive,data
229,The government has also announced that it will be investing in new economic policies to promote economic growth and reduce poverty.,investing,economic
230,",The government has also announced that it will be investing in new social welfare programs to provide better healthcare and social services to citizens.",investing,social
231,",The government has also announced that it will be investing in new job creation initiatives to create more employment opportunities.",investing,job
232,",The government has also announced that it will be investing in new technology initiatives to promote innovation and technological advancement.",investing,technology
233,",The government has also announced that it will be investing in new agricultural initiatives to improve food security and reduce hunger.",investing,agricultural
234,",The government has also announced that it will be investing in new energy initiatives to reduce dependence on fossil fuels and promote renewable energy sources.",investing,energy
235,",The government has also announced that it will be investing in new security initiatives to protect citizens from crime and terrorism.",investing,security
236," ,The Canadian government has announced a new program to help small businesses access capital and credit.",program, access
237,",The Canadian government has announced a new program to help Indigenous communities access education and employment opportunities.",indigenous, education
238,",The Canadian government has announced a new program to help women access leadership roles in the workplace.",women, leadership
239,",The Canadian government has announced a new program to help immigrants access language and cultural training.",immigrants, language
240," ,The United Nations Security Council has unanimously voted to impose a travel ban on North Korea, in response to the country's nuclear weapons program.",travel ban,nuclear weapons
