,generated events
0,"

(Laws, Unfair Labor Practices)
(Laws, Pollution)
(Laws, Dangerous Products)
(Laws, Fraudulent Financial Practices)"
1,"

(Laws, Exploitation)"
2,"

(Measures, Trafficking)
(Security, Trafficking)"
3,"

(Sanctions, Nuclear)
(Embargo, Violence)"
4,"

(Arms embargo, Destabilizing)
(Economic sanctions, Nuclear weapons)
(Trade embargo, Exporting)
(Economic sanctions, Supporting)
(Travel ban, Destabilizing)"
5,"

(Travel ban, Terrorism)
(Trade embargo, Weapons)"
6,"

(Sanctions, Interfering)
(Sanctions, Nuclear)
(Embargo, Abuses)"
7,"

(Arms embargo, Aggression)
(Arms embargo, Terrorism)"
8,"

(Misinformation, Prevent)
(Cybercrime, Prevent)
(Hate, Prevent)
(Extremism, Prevent)"
9,"

Trigger1: wages (Trigger2: falling)"
10,"

(Arms embargo, Weapons of mass destruction)
(Sanctions, Interfering)"
11,"

Trigger1 (Monitoring), Trigger2 (Penalties)"
12,"

(Embargo, Weapons)"
13,"

(Legislation, Prevent)
(Laws, Protect)
(Sanctions, Prevent)
(Laws, Protect)"
14,"

(Inspections, Exploitation)
(Penalties, Exploitation)
(Inspections, Animal welfare)
(Penalties, Animal welfare)
(Inspections, Environmental regulations)
(Penalties, Environmental regulations)"
15,"

Trigger1: Ban (Trigger2: Interfering)"
16,"

(Arms embargo, WMD)
(Economic sanctions, Nuclear weapons)
(Arms embargo, Conflict)"
17,"

Arms embargo (trigger1) and escalation (trigger2)
Travel restrictions (trigger1) and spread (trigger2)
Regulations (trigger1) and misinformation (trigger2)
Restrictions (trigger1) and exploitation (trigger2)
Law (trigger1) and pollution (trigger2)
Monitoring (trigger1) and hate speech (trigger2)"
18,"

(Monitoring, Hate Speech)
(Surveillance, Human Trafficking)
(Monitoring, Drug Trafficking)"
19,"

(Laws, Unfair Labor Practices)
(Laws, Pollution)
(Laws, Discrimination)
(Laws, Dangerous Products)
(Laws, Fraudulent Activities)
(Laws, Cybercrime)
(Laws, Identity Theft)
(Laws, Financial Exploitation)
(Laws, Hate Speech)
(Laws, Misuse of Data)
(Laws, Abuse of Power)
(Laws, Spread of Misinformation)
(Laws, Spread of Fake News)
(Laws, Spread of Hate Crimes)
(Laws, Exploitation of Vulnerable Populations)
(Laws, Abuse of Animals)
(Laws, Spread of Organized Crime)
(Laws, Spread of Human Trafficking)"
20,"

Trigger1 (sanctions) Trigger2 (nuclear)
Trigger1 (sanctions) Trigger2 (nuclear)
Trigger1 (embargo) Trigger2 (destabilizing)"
21,"

(Sanctions, Nuclear Weapons)
(Sanctions, Nuclear Weapons)
(Sanctions, Weapons of Mass Destruction)"
22,"

Pornography (trigger1) and minors (trigger2)
Gambling (trigger1) and minors (trigger2)
Fireworks (trigger1) and minors (trigger2)
Fireworks (trigger1) and 18 (trigger2)
Alcohol (trigger1) and 21 (trigger2)
Tobacco (trigger1) and 18 (trigger2)
Firearms (trigger1) and 21 (trigger2)
Drugs (trigger1) and 18 (trigger2)"
23,"

Trigger1 (arms embargo) Trigger2 (human rights abuses)
Trigger1 (arms embargo) Trigger2 (nuclear weapons)
Trigger1 (arms embargo) Trigger2 (conflict)
Trigger1 (arms embargo) Trigger2 (terrorism)"
24,"

(Regulations, Lending)
(Regulations, Polluting)
(Regulations, Exploiting)
(Regulations, Marketing)"
25,"

(Monitoring, Hate Speech)
(Monitoring, Misinformation)
(Monitoring, Extremism)
(Monitoring, Corruption)
(Monitoring, Human Trafficking)
(Monitoring, Money Laundering)"
26,"

(Arms embargo, Developing nuclear weapons)
(Economic sanctions, Interfering)
(Arms embargo, Destabilizing)
(Economic sanctions, Human rights abuses)"
