,sentence,events
0,The government passed a law to protect the rights of indigenous peoples and ensure their cultural preservation.,"

Trigger1: passed
Trigger2: protect"
1,The United States and China agreed to a trade deal that would reduce tariffs and open up markets for both countries.,"

(Agreed, Reduce)
(Open, Markets)"
2," ,The government passed a law to increase funding for public education, in an effort to improve educational outcomes. ,The government passed a law to increase funding for infrastructure projects, in an effort to create jobs and stimulate economic growth. ,The government passed a law to increase funding for research and development, in an effort to promote technological innovation. ,The government passed a law to increase funding for renewable energy projects, in an effort to reduce carbon emissions and combat climate change. ,The government passed a law to increase funding for social services, in an effort to reduce poverty and inequality. ,The government passed a law to increase funding for public safety initiatives, in an effort to reduce crime and improve public safety.","

(passed, increase)
(passed, create)
(passed, promote)
(passed, reduce)
(passed, reduce)
(passed, improve)"
3,The government introduced a new program to combat climate change and reduce greenhouse gas emissions.,"

Trigger1: introduced
Trigger2: combat"
4," ,The government is introducing a new law to protect the rights of workers, in an effort to ensure fair wages and safe working conditions.","

Trigger1: introducing
Trigger2: protect"
5," ,The United Nations Security Council voted unanimously to impose economic sanctions on Iraq in response to its invasion of Kuwait. ,The government is introducing a new law to protect the rights of indigenous peoples, in an effort to promote cultural diversity and respect for traditional ways of life. ,The government is introducing a new law to protect the rights of refugees, in an effort to ensure safe and dignified living conditions. ,The government is introducing a new law to protect the rights of women, in an effort to promote gender equality and combat discrimination.","

(voted, impose)
(introducing, protect)
(introducing, ensure)
(introducing, promote)"
6," ,The government is introducing a new law to protect the rights of children, in an effort to ensure their safety and well-being. ,The government is introducing a new law to protect the rights of immigrants, in an effort to promote integration and cultural understanding.","

(Introducing, Protect)
(Introducing, Promote)"
7," ,The government has passed a law to increase the minimum wage, in an effort to reduce poverty and improve living standards. ,The government has implemented a new policy to provide free education to all citizens, in an effort to promote economic growth and social development. ,The government has passed a law to protect the environment, in an effort to reduce pollution and conserve natural resources. ,The government has implemented a new policy to provide subsidies to farmers, in an effort to increase agricultural production and reduce food prices.","

(passed, increase)
(implemented, provide)
(passed, protect)
(implemented, provide)"
8," ,The government introduced a new law to protect the rights of Indigenous peoples in an effort to recognize their sovereignty. ,The government introduced a new law to protect the rights of religious minorities in an effort to promote religious freedom. ,The government introduced a new law to protect the rights of workers in an effort to ensure fair wages and safe working conditions. ,The government introduced a new law to protect the rights of consumers in an effort to promote fair trade and competition. ,The government introduced a new law to protect the rights of the environment in an effort to reduce pollution and conserve natural resources.","

(introduced, protect)
(introduced, recognize)
(introduced, promote)
(introduced, ensure)
(introduced, promote)"
9," ,The United Nations Security Council passed a resolution calling for an immediate ceasefire in the conflict between Israel and Palestine.","

Trigger1: passed
Trigger2: ceasefire"
