,generated sentences
0,"

Trigger1: Entitles (trigger2: Buy)"
1,"

Trigger1: approval (trigger1)
Trigger2: acquire (trigger2)"
2,"

Trigger1: request
Trigger2: removal"
3,"

Trigger1: Offer (Dow Jones)
Trigger2: Review (shareholders)"
4,"

Trigger1: embargo (trigger2: enforce) 
Trigger1: Kuwait (trigger2: ask)"
5,"

Trigger1 (military): success
Trigger2 (diplomatic): risks"
6,"

Trigger1: embargo (trigger2: enforce) 
Trigger1: Kuwait (trigger2: ask)"
7,"

Trigger1: approval (trigger1)
Trigger2: acquire (trigger2)"
8,"

(request) (remove)"
9,"

Trigger1: embargo (trigger2: enforce) 
Trigger1: Kuwait (trigger2: ask)"
10,"

Trigger1: offering (Trigger2: subscribe)"
11,"

Trigger1: Extension (trigger2: Completed)"
12,"

(tall)
(scoring)
(moves)
(focus)"
13,"

Trigger1: offering (Trigger2: subscribe)"
14,"

Trigger1: approval (trigger1)
Trigger2: acquire (trigger2)"
15,"

Trigger1: Entitles (trigger2: Buy)"
16,"

Trigger1: request
Trigger2: removal"
17,"

Trigger1: approval (trigger1)
Trigger2: acquire (trigger2)"
18,"

Trigger1: offering (Trigger2: subscribe)"
19,"

Trigger1: request
Trigger2: removal"
20,"

Trigger1: Entitles (trigger2: Buy)"
21,"

(merger) (encouraging)
(merger) (supportive)
(capitalization) (larger)
(capitalization) (combined)
(presence) (global)
(presence) (diversified)"
22,"

Trigger1: request
Trigger2: removal"
23,"

Trigger1: approval (trigger1)
Trigger2: acquire (trigger2)"
24,"

Trigger1: offering (Trigger2: subscribe)"
25,"

Trigger1: embargo (trigger2: enforce) 
Trigger1: Kuwait (trigger2: ask)"
26,"

Trigger1: Acquisition (trigger1)
Trigger2: Granted (trigger2)"
27,"

Trigger1: Entitles (trigger2: Buy)"
28,"

Trigger1 (allied)
Trigger2 (rejection)"
29,"

(Moves)
(Focus)"
30,"

Trigger1: Pressure (trigger2: Reduce)"
31,"

(presence, larger)
(merger, create)
(global, reach)
(compete, effectively)
(diversified, portfolio)
(advantage, competitive)
(markets, access)"
