,sentence,events
0," ,The government has implemented a series of laws to protect workers from unfair labor practices. ,The government has implemented a series of laws to protect the environment from pollution. ,The government has implemented a series of laws to protect the public from dangerous products. ,The government has implemented a series of laws to protect the public from fraudulent financial practices.","

(Laws, Unfair Labor Practices)
(Laws, Pollution)
(Laws, Dangerous Products)
(Laws, Fraudulent Financial Practices)"
1,The government has implemented a series of laws to prevent the exploitation of vulnerable populations.,"

(Laws, Exploitation)"
2," ,The government has implemented a series of measures to prevent the illegal trafficking of drugs, including increased border security and increased penalties. ,The government has implemented a series of measures to prevent the illegal trafficking of people, including increased border security and increased penalties.","

(Measures, Trafficking)
(Security, Trafficking)"
3," ,The United States has imposed economic sanctions on North Korea in an effort to prevent the country from developing nuclear weapons. ,The United Nations has imposed an arms embargo on Sudan in an effort to prevent further violence and human rights abuses.","

(Sanctions, Nuclear)
(Embargo, Violence)"
4," ,The United Nations has imposed an arms embargo on Libya in an effort to prevent the country from destabilizing the region. ,The United States has imposed economic sanctions on Iran in an effort to prevent the country from developing nuclear weapons. ,The United Nations has imposed a trade embargo on Sudan in an effort to prevent the country from exporting weapons. ,The United States has imposed economic sanctions on Cuba in an effort to prevent the country from supporting terrorism. ,The United Nations has imposed a travel ban on certain individuals in an effort to prevent them from engaging in activities that could destabilize the region.","

(Arms embargo, Destabilizing)
(Economic sanctions, Nuclear weapons)
(Trade embargo, Exporting)
(Economic sanctions, Supporting)
(Travel ban, Destabilizing)"
5," ,The United Nations has imposed a travel ban on certain individuals in an effort to prevent the spread of terrorism. ,The United Nations has imposed a trade embargo on certain countries in an effort to prevent the spread of weapons of mass destruction.","

(Travel ban, Terrorism)
(Trade embargo, Weapons)"
6," ,The European Union has imposed economic sanctions on Russia in an effort to prevent the country from interfering in Ukraine's internal affairs. ,The United States has imposed economic sanctions on Iran in an effort to prevent the country from developing nuclear weapons. ,The United Nations has imposed an arms embargo on Libya in an effort to prevent the country from committing human rights abuses.","

(Sanctions, Interfering)
(Sanctions, Nuclear)
(Embargo, Abuses)"
7," ,The United Nations has imposed an arms embargo on Sudan in an effort to prevent the country from engaging in further acts of aggression. ,The United Nations has imposed an arms embargo on Yemen in an effort to prevent the country from engaging in further acts of terrorism.","

(Arms embargo, Aggression)
(Arms embargo, Terrorism)"
8," ,The government has implemented a series of measures to prevent the spread of misinformation. ,The government has implemented a series of measures to prevent the spread of cybercrime. ,The government has implemented a series of measures to prevent the spread of hate speech. ,The government has implemented a series of measures to prevent the spread of extremism.","

(Misinformation, Prevent)
(Cybercrime, Prevent)
(Hate, Prevent)
(Extremism, Prevent)"
9, This has helped to prevent wages from falling too far too quickly.,"

Trigger1: wages (Trigger2: falling)"
10," ,The United Nations has imposed an arms embargo on Iraq in an effort to prevent the country from acquiring weapons of mass destruction. ,The United States has imposed sanctions on Russia in an effort to prevent the country from interfering in the internal affairs of other countries.","

(Arms embargo, Weapons of mass destruction)
(Sanctions, Interfering)"
11," ,The government has implemented a series of measures to prevent the spread of hate speech, including increased monitoring of online activity and increased penalties for those who engage in hate speech. ,The government has implemented a series of measures to prevent the illegal trafficking of drugs, including increased monitoring of drug activity and increased penalties for those who engage in drug trafficking.","

Trigger1 (Monitoring), Trigger2 (Penalties)"
12,The United Nations has imposed an arms embargo on Yemen in an effort to prevent the country from acquiring weapons of mass destruction. ,"

(Embargo, Weapons)"
13," ,The government has passed legislation to prevent companies from engaging in unfair labor practices. ,The government has implemented a series of laws to protect the rights of indigenous peoples. ,The United Nations has imposed economic sanctions on a country in an effort to prevent it from supporting human rights abuses. ,The government has implemented a series of laws to protect the rights of refugees and asylum seekers.","

(Legislation, Prevent)
(Laws, Protect)
(Sanctions, Prevent)
(Laws, Protect)"
14," ,The government has implemented a series of measures to prevent the exploitation of children, including increased inspections of schools and increased penalties for employers who violate child labor laws. ,The government has implemented a series of measures to prevent the exploitation of animals, including increased inspections of farms and increased penalties for employers who violate animal welfare laws. ,The government has implemented a series of measures to prevent the exploitation of natural resources, including increased inspections of mines and increased penalties for employers who violate environmental regulations.","

(Inspections, Exploitation)
(Penalties, Exploitation)
(Inspections, Animal welfare)
(Penalties, Animal welfare)
(Inspections, Environmental regulations)
(Penalties, Environmental regulations)"
15," ,The United Nations has imposed a travel ban on North Korea in an effort to prevent the country from interfering in other countries' affairs.","

Trigger1: Ban (Trigger2: Interfering)"
16," ,The United Nations has imposed an arms embargo on Libya in an effort to prevent the country from acquiring weapons of mass destruction. ,The United States has imposed economic sanctions on Iran in an effort to prevent the country from developing nuclear weapons. ,The United Nations has imposed an arms embargo on South Sudan in an effort to prevent the country from engaging in further conflict.","

(Arms embargo, WMD)
(Economic sanctions, Nuclear weapons)
(Arms embargo, Conflict)"
