,text,tag,label
0,"The government passed a law to increase funding for public education, in an effort to improve educational outcomes.",0 0 intention 0 0 0 0 0 0 0 0 0 0 0 0 effect 0 0 0 0,intend
1,"The government passed a law to increase funding for infrastructure projects, in an effort to create jobs and stimulate economic growth.",0 0 intention 0 0 0 0 0 0 0 0 0 0 0 0 effect 0 0 0 0 0 0 0,intend
2,"The government passed a law to increase funding for research and development, in an effort to promote technological innovation.",0 0 intention 0 0 0 0 0 0 0 0 0 0 0 0 0 effect 0 0 0 0,intend
3,"The government passed a law to increase funding for renewable energy projects, in an effort to reduce carbon emissions and combat climate change.",0 0 intention 0 0 0 0 0 0 0 0 0 0 0 0 0 effect 0 0 0 0 0 0 0 0,intend
4,"The government passed a law to increase funding for social services, in an effort to reduce poverty and inequality.",0 0 intention 0 0 0 0 0 0 0 0 0 0 0 0 effect 0 0 0 0 0,intend
5,"The government passed a law to increase funding for public safety initiatives, in an effort to reduce crime and improve public safety.",0 0 intention 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 effect 0 0 0 0,intend
6,The United Nations Security Council voted unanimously to impose economic sanctions on Iraq in response to its invasion of Kuwait.,0 0 0 0 0 intention 0 0 effect 0 0 0 0 0 0 0 0 0 0 0 0,intend
7,"The government is introducing a new law to protect the rights of indigenous peoples, in an effort to promote cultural diversity and respect for traditional ways of life.",0 0 0 intention 0 0 0 0 0 0 0 0 0 0 0 0 0 0 effect 0 0 0 0 0 0 0 0 0 0 0,intend
8,"The government is introducing a new law to protect the rights of refugees, in an effort to ensure safe and dignified living conditions.",0 0 0 intention 0 0 0 0 0 0 0 0 0 0 0 0 0 effect 0 0 0 0 0 0 0,intend
9,"The government is introducing a new law to protect the rights of women, in an effort to promote gender equality and combat discrimination.",0 0 0 intention 0 0 0 0 0 0 0 0 0 0 0 0 0 effect 0 0 0 0 0 0 0,intend
10,"The government is introducing a new law to protect the rights of children, in an effort to ensure their safety and well-being.",0 0 0 intention 0 0 0 0 0 0 0 0 0 0 0 0 0 effect 0 0 0 0 0 0 0 0,intend
11,"The government is introducing a new law to protect the rights of immigrants, in an effort to promote integration and cultural understanding.",0 0 0 intention 0 0 0 0 0 0 0 0 0 0 0 0 0 effect 0 0 0 0 0 0,intend
12,"The government has passed a law to increase the minimum wage, in an effort to reduce poverty and improve living standards.",0 0 0 intention 0 0 0 0 0 0 0 0 0 0 0 effect 0 0 0 0 0 0 0,intend
13,"The government has implemented a new policy to provide free education to all citizens, in an effort to promote economic growth and social development.",0 0 0 intention 0 0 0 0 0 0 0 0 0 0 0 0 0 0 effect 0 0 0 0 0 0 0,intend
14,"The government has passed a law to protect the environment, in an effort to reduce pollution and conserve natural resources.",0 0 0 intention 0 0 0 0 0 0 0 0 0 0 effect 0 0 0 0 0 0 0,intend
15,"The government has implemented a new policy to provide subsidies to farmers, in an effort to increase agricultural production and reduce food prices.",0 0 0 intention 0 0 0 0 0 0 0 0 0 0 0 0 effect 0 0 0 0 0 0 0 0,intend
16,The government introduced a new law to protect the rights of Indigenous peoples in an effort to recognize their sovereignty.,0 0 intention 0 0 0 0 0 0 0 0 0 0 0 0 0 0 effect 0 0 0,intend
17,The government introduced a new law to protect the rights of religious minorities in an effort to promote religious freedom.,0 0 intention 0 0 0 0 0 0 0 0 0 0 0 0 0 0 effect 0 0 0,intend
18,The government introduced a new law to protect the rights of workers in an effort to ensure fair wages and safe working conditions.,0 0 intention 0 0 0 0 0 0 0 0 0 0 0 0 0 effect 0 0 0 0 0 0 0,intend
19,The government introduced a new law to protect the rights of consumers in an effort to promote fair trade and competition.,0 0 intention 0 0 0 0 0 0 0 0 0 0 0 0 0 effect 0 0 0 0 0,intend
20,The government introduced a new law to protect the rights of the environment in an effort to reduce pollution and conserve natural resources.,0 0 intention 0 0 0 0 0 0 0 0 0 0 0 0 0 0 effect 0 0 0 0 0 0,intend
21,"The government has implemented a new policy to reduce the cost of college tuition, in an effort to make higher education more accessible.",0 0 0 intention 0 0 0 0 0 0 0 0 0 0 0 0 0 0 effect 0 0 0 0 0 0,intend
22,"The government has passed a law to protect the rights of workers and ensure fair wages, in an effort to reduce income inequality.",0 0 0 intention 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 effect 0 0 0 0,intend
23,"The government has introduced a new program to provide job training and employment opportunities for veterans, in an effort to reduce unemployment.",0 0 0 intention 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 effect 0 0 0,intend
24,"The government has passed a law to increase the availability of healthcare services, in an effort to improve public health.",0 0 0 intention 0 0 0 0 0 0 0 0 0 0 0 0 0 effect 0 0 0 0,intend
25,"The government has implemented a new policy to reduce the cost of prescription drugs, in an effort to make healthcare more affordable.",0 0 0 intention 0 0 0 0 0 0 0 0 0 0 0 0 0 0 effect 0 0 0 0 0,intend
26,The president proposed a new tax plan that would reduce taxes for the middle class and increase taxes for the wealthy.,0 0 0 0 0 intention 0 0 0 effect 0 0 0 0 0 0 0 0 0 0 0 0,intend
27,The United Nations passed a resolution calling for an end to the conflict in the Middle East.,0 0 0 0 0 intention 0 0 0 effect 0 0 0 0 0 0 0 0,intend
28,The Senate passed a bill to increase funding for public education.,0 0 0 0 intention 0 effect 0 0 0 0 0,intend
29,The House of Representatives passed a bill to provide tax relief for small businesses.,0 0 0 0 0 0 intention 0 0 0 effect 0 0 0 0,intend
30,The president signed an executive order to protect the environment from pollution.,0 0 0 0 0 intention 0 effect 0 0 0 0 0,intend
31,The government announced a new policy to reduce carbon emissions.,0 0 0 0 0 intention 0 effect 0 0 0,intend
32,The government passed a new law to protect the rights of immigrants in an effort to promote diversity.,0 0 intention 0 0 0 0 0 0 0 0 0 0 0 0 0 effect 0 0,intend
33,The government passed a new law to protect the rights of women in an effort to promote gender equality.,0 0 intention 0 0 0 0 0 0 0 0 0 0 0 0 0 effect 0 0 0,intend
34,The government passed a new law to protect the rights of LGBTQ+ individuals in an effort to promote acceptance.,0 0 intention 0 0 0 0 0 0 0 0 0 0 0 0 0 0 effect 0 0,intend
35,The government passed a new law to protect the rights of disabled persons in an effort to promote inclusion.,0 0 intention 0 0 0 0 0 0 0 0 0 0 0 0 0 0 effect 0 0,intend
36,The government passed a new law to protect the rights of children in an effort to promote their welfare.,0 0 intention 0 0 0 0 0 0 0 0 0 0 0 0 0 effect 0 0 0,intend
37,The government passed a new law to protect the rights of the elderly in an effort to ensure their dignity.,0 0 intention 0 0 0 0 0 0 0 0 0 0 0 0 0 0 effect 0 0 0,intend
38,"The government has passed a law to increase the minimum wage, in an effort to reduce poverty and inequality.",0 0 0 intention 0 0 0 0 0 0 0 0 0 0 0 effect 0 0 0 0 0,intend
39,"The government has passed a law to increase access to healthcare, in an effort to improve public health and reduce health disparities.",0 0 0 intention 0 0 0 0 0 0 0 0 0 0 0 effect 0 0 0 0 0 0 0 0,intend
40,"The government has passed a law to increase access to education, in an effort to reduce educational disparities and promote economic growth.",0 0 0 intention 0 0 0 0 0 0 0 0 0 0 0 effect 0 0 0 0 0 0 0 0,intend
41,"The government has passed a law to increase access to housing, in an effort to reduce homelessness and improve living conditions.",0 0 0 intention 0 0 0 0 0 0 0 0 0 0 0 effect 0 0 0 0 0 0 0,intend
42,"The government has passed a law to increase access to public transportation, in an effort to reduce traffic congestion and improve air quality.",0 0 0 intention 0 0 0 0 0 0 0 0 0 0 0 0 effect 0 0 0 0 0 0 0 0,intend
43,"The government is introducing a new law to protect the rights of immigrants, in an effort to ensure fair treatment and access to services.",0 0 0 intention 0 0 0 0 0 0 0 0 0 0 0 0 0 effect 0 0 0 0 0 0 0 0,intend
44,"The government is introducing a new law to protect the rights of indigenous peoples, in an effort to promote cultural diversity and respect for traditional knowledge.",0 0 0 intention 0 0 0 0 0 0 0 0 0 0 0 0 0 0 effect 0 0 0 0 0 0 0 0 0,intend
45,"The government is introducing a new law to protect the rights of women, in an effort to ensure gender equality and access to justice.",0 0 0 intention 0 0 0 0 0 0 0 0 0 0 0 0 0 effect 0 0 0 0 0 0 0 0,intend
46,"The government is introducing a new law to protect the rights of the disabled, in an effort to ensure access to services and equal opportunities.",0 0 0 intention 0 0 0 0 0 0 0 0 0 0 0 0 0 0 effect 0 0 0 0 0 0 0 0,intend
47,"The government is introducing a new law to protect the rights of LGBTQ+ individuals, in an effort to promote acceptance and inclusion.",0 0 0 intention 0 0 0 0 0 0 0 0 0 0 0 0 0 0 effect 0 0 0 0 0,intend
48,The government passed a law to protect the rights of refugees and promote their integration into society.,0 0 intention 0 0 0 effect 0 0 0 0 0 0 0 0 0 0 0,intend
49,The government passed a law to protect the rights of religious minorities and promote religious tolerance.,0 0 intention 0 0 0 0 0 0 0 0 0 0 effect 0 0 0,intend
50,The government passed a law to protect the rights of LGBTQ+ individuals and promote equality.,0 0 intention 0 0 0 effect 0 0 0 0 0 0 0 0 0,intend
51,The government passed a law to protect the rights of victims of human trafficking and promote their rehabilitation.,0 0 intention 0 0 0 0 0 0 0 0 0 0 0 0 effect 0 0 0,intend
