,generated events
0,"

(passed, increase)
(implemented, promote)
(launched, raise)
(introduced, protect)
(implemented, improve)
(passed, increase)
(launched, reduce)"
1,"

Trigger1: passed
Trigger2: protect"
2,"

Trigger1: launched
Trigger2: promote"
3,"

Trigger1: passed
Trigger2: reduce"
4,"

(passed, increase)
(implemented, provide)
(passed, increase)
(passed, increase)"
5,"

(entice)(diplomatic)"
6,"

(implemented,provide)
(passed,increase)"
7,"

(introducing, protect)
(reduce, pollution)
(recognize, rights)
(ensure, access)"
8,"

(Introducing, Protect)
(Introducing, Reduce)
(Introducing, Promote)"
9,"

Trigger1: speech
Trigger2: rally"
10,"

(implemented, provide)
(passed, protect)
(implemented, provide)
(passed, protect)"
11,"

(passed, increase)
(passed, reduce)
(passed, reduce)
(passed, reduce)"
12,"

(increase, reduce)
(increase, improve)
(increase, reduce)
(reduce, combat)
(increase, reduce)
(increase, reduce)
(increase, reduce)
(increase, promote)"
13,"

(passed, protect)
(passed, promote)
(passed, protect)
(passed, promote)
(passed, protect)
(passed, promote)
(passed, protect)
(passed, promote)
(passed, protect)
(passed, promote)"
14,"

Trigger1: implement
Trigger2: stimulate"
15,"

Trigger1: passed
Trigger2: reduce"
16,"

(passed, increase)
(passed, reduce)
(passed, reduce)
(passed, reduce)
(passed, reduce)"
17,"

(increase,funding)
(increase,training)
(increase,housing)
(increase,parks)
(increase,safety)
(increase,discrimination)
(increase,transportation)"
18,"

Trigger1: (restructuring)
Trigger2: (increase)"
19,"

Trigger1: pump
Trigger2: reap"
20,"

(passed, increase)
(passed, reduce)
(passed, reduce)
(passed, improve)
(passed, combat)"
21,"

(passed, protect)
(passed, ensure)
(passed, access)
(passed, equal)
(passed, reproductive)"
22,"

(Introducing, Protect)
(Introducing, Ensure)
(Introducing, Promote)"
23,"

Trigger1: passed (Trigger2: increase)
Trigger1: reduce (Trigger2: cost)"
24,"

(passed, increase)
(implemented, provide)"
25,"

(passed, condemning)
(launched, liberate)
(passed, ceasefire)
(passed, establish)
(passed, establish)
(passed, establish)
(passed, establish)
(passed, establish)
(passed, establish)
(passed, establish)
(passed, establish)"
26,"

(passed, increase)
(passed, reduce)
(passed, reduce)
(passed, reduce)"
27,"

(passed, increase)
(passed, reduce)
(passed, reduce)
(passed, reduce)"
28,"

Trigger1: passed
Trigger2: reduce"
29,"

(passed, protect)
(ensure, equal)"
30,"

(destroy,regime)"
31,"

Trigger1: introduced
Trigger2: promote"
32,"

(passed)(increase)"
33,"

(passed, increase)
(passed, reduce)
(passed, reduce)
(passed, reduce)
(passed, ensure)"
34,"

(implemented, reduce)
(implemented, make)
(implemented, reduce)
(implemented, make)
(implemented, reduce)
(implemented, make)
(implemented, reduce)
(implemented, make)
(implemented, reduce)
(implemented, make)"
35,"

Trigger1: implemented
Trigger2: reduce"
36,"

passed (trigger1) reduce (trigger2)
implemented (trigger1) reduce (trigger2)
introduced (trigger1) reduce (trigger2)
implemented (trigger1) reduce (trigger2)
passed (trigger1) reduce (trigger2)
implemented (trigger1) reduce (trigger2)"
37,"

passed (trigger1) increase (trigger2)
access (trigger1) reduce (trigger2)
access (trigger1) improve (trigger2)
access (trigger1) reduce (trigger2)
access (trigger1) protect (trigger2)
access (trigger1) promote (trigger2)
access (trigger1) improve (trigger2)"
38,"

(introduced,raise)
(passed,protect)
(implemented,reduce)
(passed,protect)
(passed,protect)
(passed,protect)
(passed,protect)
(passed,promote)"
39,"

(passed)(protect)"
40,"

(passed, increase)
(passed, reduce)
(passed, improve)
(passed, provide)
(passed, increase)"
41,"

passed (law) (reduce)
passed (law) (increase)
passed (law) (provide)
passed (law) (increase)
passed (law) (provide)
passed (law) (reduce)
passed (law) (provide)
passed (law) (increase)
passed (law) (provide)
passed (law) (provide)
passed (law) (increase)
passed (law) (provide)
passed (law) (provide)
passed (law) (invest)
passed (law) (provide)
passed (law) (hire)
passed (law) (invest)
passed (law) (provide)
passed (law) (invest)
passed (law) (hire)
passed (law) (invest)
passed (law) (invest)"
42,"

Trigger1: introduced
Trigger2: create"
43,"

(passed, increase)
(passed, reduce)
(passed, reduce)
(passed, reduce)
(passed, reduce)
(passed, increase)
(passed, reduce)
(passed, reduce)"
44,"

(implemented, provide)
(introduced, provide)
(passed, increase)"
45,"

Trigger1: passed
Trigger2: protect"
46,"

(introducing, revenue)
(introducing, protect)
(introducing, protect)
(introducing, protect)
(introducing, protect)
(introducing, protect)
(introducing, protect)
(introducing, ensure)"
47,"

(passed, increase)
(passed, reduce)
(passed, reduce)
(passed, reduce)
(passed, reduce)
(passed, reduce)"
48,"

(signed, protect)
(introducing, protect)
(introducing, promote)
(introducing, ensure)
(introducing, ensure)"
49,"

Trigger1: implemented
Trigger2: promote"
50,"

(introducing, protect)
(protect, ensure)
(protect, ensure)
(protect, ensure)
(protect, ensure)"
51,"

Trigger1: passed
Trigger2: protect"
52,"

Trigger1: introduced
Trigger2: provide"
53,"

(implemented, provide)
(passed, increase)"
54,"

(Introducing, Protect)
(Ensure, Fair)
(Promote, Inclusion)
(Promote, Tolerance)"
55,"

Trigger1: introduced
Trigger2: protect"
56,"

(Introducing, Protect)
(Ensure, Equal)"
57,"

(passed, increase)
(passed, reduce)
(passed, improve)
(passed, reduce)
(passed, reduce)
(passed, reduce)
(passed, improve)"
58,"

(passed, increase)
(effort, reduce)"
59,"

(passed, increase)
(passed, reduce)
(passed, reduce)
(passed, reduce)
(passed, reduce)
(passed, promote)"
60,"

(passed, increase)
(increase, reduce)
(increase, improve)
(increase, reduce)
(increase, reduce)"
