,generated events
0,"

Trigger1: measures (Trigger2: harvesting)"
1,"

(Sanctions, Destabilizing)
(Embargo, Nuclear)
(Embargo, Aggression)
(Embargo, Violence)
(Embargo, Terrorism)"
2,"

(steps, exploitation)
(steps, spread)
(steps, terrorism)"
3,"

(Laws, Destruction)"
4,"

Sanctions (trigger1) and War crimes (trigger2)
Sanctions (trigger1) and Human rights abuses (trigger2)
Measures (trigger1) and Terrorism (trigger2)
Sanctions (trigger1) and Weapons of mass destruction (trigger2)
Sanctions (trigger1) and Nuclear weapons (trigger2)
Arms embargo (trigger1) and Destabilizing (trigger2)
Measures (trigger1) and Hate speech (trigger2)
Measures (trigger1) and Exploitation (trigger2)
Measures (trigger1) and Abuse of power (trigger2)
Measures (trigger1) and Misuse of funds (trigger2)
Measures (trigger1) and Human rights violation (trigger2)
Measures (trigger1) and Fake news (trigger2)
Measures (trigger1) and Cybercrime (trigger2)
Measures (trigger1) and Exploitation of resources (trigger2)
Measures (trigger1) and Child exploitation (trigger2)
Measures (trigger1) and Weapons of mass destruction (trigger2)
Measures (trigger1) and Organized crime (trigger2)"
5,"

(Vaccinations, Spread)
(Security, Trafficking)"
6,"

(sanctions, interfering)
(embargo, developing)
(sanctions, destabilizing)"
7,"

Arms embargo (trigger1) and terrorists (trigger2)
Arms embargo (trigger1) and civil war (trigger2)
Arms embargo (trigger1) and terrorists (trigger2)
Arms embargo (trigger1) and civil war (trigger2)
Arms embargo (trigger1) and civil war (trigger2)
Arms embargo (trigger1) and human rights abuses (trigger2)
Arms embargo (trigger1) and nuclear weapons (trigger2)
Economic sanctions (trigger1) and nuclear weapons (trigger2)
Travel ban (trigger1) and human rights abuses (trigger2)
No-fly zone (trigger1) and human rights abuses (trigger2)
Economic sanctions (trigger1) and human rights abuses (trigger2)"
8,"

(sanctions, acquiring)
(military, invading)
(arms, acquiring)
(no-fly, using)
(sanctions, acquiring)
(naval, importing)
(trade, acquiring)
(travel, acquiring)"
9,"

(Sanctions, Interfering)
(Sanctions, Cracking)
(Embargo, Violence)
(Sanctions, Developing)"
10,"

Trigger1: Steps (Trigger2: Devaluation)"
11,"

(measures, trafficking)
(measures, exploitation)
(measures, dumping)"
12,"

(Embargo, WMD)"
13,"

(Arms embargo, Prevent)
(Travel ban, Prevent)
(Economic sanctions, Prevent)
(Economic sanctions, Prevent)"
14,"

(Arms embargo, Aggression)
(Arms embargo, Terrorism)
(Arms embargo, Violence)"
15,"

(measures, trafficking)
(measures, hate)
(measures, misinformation)
(legislation, exploitation)
(embargo, weapons)
(laws, discrimination)
(sanctions, terrorism)"
16,"

(Discrimination,Prevent)
(Hate,Prevent)
(Trafficking,Prevent)
(Exploitation,Prevent)
(Infectious,Prevent)
(Illegal,Prevent)
(Weapons,Prevent)
(Child,Prevent)
(Abuse,Prevent)
(Exploitation,Prevent)
(Destruction,Prevent)
(Extremist,Prevent)
(Financing,Prevent)
(Proliferation,Prevent)
(Illegal,Prevent)
(Endangered,Prevent)
(Hazardous,Prevent)
(Illegal,Prevent)"
17,"

Trigger1: embargo (Trigger2: abuses)"
18,"

(Surveillance, Terrorism)
(Transparency, Corruption)"
19,"

(sanctions,nuclear)
(embargo,destabilizing)
(sanctions,violating)"
20,"

Trigger1: embargo (Trigger2: missiles)"
21,"

(Embargo, Civil War)
(Embargo, Terrorists)"
22,"

(Embargo, Conflict)
(Sanctions, Nuclear)"
23,"

(Monitoring, Exploitation)
(Surveillance, Terrorism)"
24,"

(Laws)(Enforcement)"
25,"

(Regulations, Unethical)
(Regulations, Polluting)
(Regulations, Exploiting)
(Regulations, Price Gouging)
(Regulations, Deceptive)
(Regulations, Insider Trading)"
26,"

(Arms embargo, Destabilizing)
(Sanctions, Human rights abuses)
(Travel ban, Nuclear weapons)
(Sanctions, Nuclear weapons)
(Arms embargo, Destabilizing)
(Sanctions, Human rights abuses)
(Travel ban, Destabilizing)
(Sanctions, Destabilizing)"
27,"

Trigger1: Measures (Trigger2: Spread)"
28,"

Arms embargo (trigger1) and proliferation (trigger2)
Regulations (trigger1) and spread (trigger2)
Protocols (trigger1) and use (trigger2)
Laws (trigger1) and financing (trigger2)
Resolutions (trigger1) and force (trigger2)
Laws (trigger1) and proliferation (trigger2)
Protocols (trigger1) and use (trigger2)
Laws (trigger1) and trafficking (trigger2)
Protocols (trigger1) and use (trigger2)"
29,"

(Embargo,Abuses)
(Sanctions,Nuclear)
(No-fly,Violence)"
30,"

(Surveillance, Terrorism)
(Laws, Corruption)
(Monitoring, Exploitation)"
31,"

(Regulations, Protect)"
32,"

(Sanctions, War crimes)
(Sanctions, Human rights abuses)"
33,"

(Arms embargo, Spread of extremism)
(Arms embargo, Development of nuclear weapons)
(Arms embargo, Spread of terrorism)"
34,"

Trigger1: War's (Trigger2: Initiative)"
35,"

(Arms embargo, Nuclear weapons)
(Arms embargo, Human rights abuses)"
36,"

(sanctions,occupation)
(embargo,weapons)
(air campaign,occupation)
(invasion,withdraw)
(no-fly zone,attack)
(blockade,import)"
37,"

(Security, Penalties)
(Inspections, Penalties)"
38,"

(Minimum wage, Exploitation)
(Natural resources, Exploitation)
(Vulnerable populations, Exploitation)
(Deceptive marketing, Exploitation)
(Children, Exploitation)"
39,"

(Arms embargo, Developing nuclear weapons)
(Arms embargo, Developing nuclear weapons)
(Arms embargo, Using weapons)
(Arms embargo, Using weapons)
(Arms embargo, Using weapons)"
40,"

(Travel ban, Destabilizing)
(Arms embargo, Destabilizing)
(Economic sanctions, Nuclear weapons)
(Travel ban, Destabilizing)
(Economic sanctions, Destabilizing)"
41,"

Trigger1: embargo (Trigger2: violence)"
42,"

Trigger1: Surveillance (Trigger2: Terrorism)"
43,"

(measures, exploitation)
(measures, trafficking)
(measures, smuggling)"
44,"

(measures, proliferation)
(measures, sale)
(measures, sale)
(measures, exploitation)
(measures, destruction)"
45,"

(Sanctions, Destabilizing)
(Embargo, Violence)"
46,"

(Monitoring,Hate)
(Regulation,Exploitation)
(Transparency,Corruption)"
47,"

(Embargo, Nuclear)"
48,"

(Monitoring,Extremism)
(Transparency,Corruption)
(Surveillance,Terrorism)"
49,"

(Tariffs, Protect)
(No-fly, Attack)
(Sanctions, Interfere)
(Arms, Chemical)
(Arms, Weapons)
(Sanctions, Violate)
(Arms, Weapons)
(Arms, Weapons)"
50,"

(sanctions, nuclear)
(embargo, weapons)
(sanctions, destabilizing)"
51,"

Exploitation (trigger1) - Prevention (trigger2)
Sale (trigger1) - Illegal (trigger2)
Trafficking (trigger1) - Human (trigger2)
Terrorism (trigger1) - Spread (trigger2)
Proliferation (trigger1) - Weapons (trigger2)
Child (trigger1) - Soldiers (trigger2)
Destruction (trigger1) - Environment (trigger2)
Infectious (trigger1) - Diseases (trigger2)
Exploitation (trigger1) - Natural (trigger2)"
52,"

Arms embargo (trigger1) and genocide (trigger2)
Arms embargo (trigger1) and terrorism (trigger2)
Arms embargo (trigger1) and nuclear weapons (trigger2)
Economic sanctions (trigger1) and interfering (trigger2)
Economic sanctions (trigger1) and nuclear weapons (trigger2)
Arms embargo (trigger1) and chemical weapons (trigger2)
Economic sanctions (trigger1) and human rights (trigger2)"
53,"

(Arms embargo, Chemical weapons)
(Economic sanctions, Nuclear weapons)
(Measures, Disease)
(Measures, Misinformation)"
54,"

(sanctions, aggression)
(embargo, nuclear)
(sanctions, nuclear)
(no-fly, violence)"
55,"

Trigger1 (Arms embargo) Trigger2 (Nuclear weapons)"
56,"

Trigger1: Settlemet (trigger1)
Trigger2: Exodus (trigger2)"
57,"

Trigger1: Tariffs (Trigger1)
Trigger2: Competition (Trigger2)"
58,"

(sanctions, destabilizing)
(embargo, destabilizing)
(sanctions, nuclear)
(ban, destabilizing)"
59,"

(Sanctions,Abuses)
(Sanctions,Interfering)
(Sanctions,Nuclear)
(Sanctions,Abuses)"
