,Unnamed: 0,sentence,trigger1,trigger2,tag,label
0,0,"The government passed a law to increase funding for public education, in an effort to improve educational outcomes.",passed,improve,0 0 intention 0 0 0 0 0 0 0 0 0 0 0 0 effect 0 0 0 0,intend
1,1,"The government passed a law to increase funding for infrastructure projects, in an effort to create jobs and stimulate economic growth.",passed,create,0 0 intention 0 0 0 0 0 0 0 0 0 0 0 0 effect 0 0 0 0 0 0 0,intend
2,2,"The government passed a law to increase funding for research and development, in an effort to promote technological innovation.",passed,promote,0 0 intention 0 0 0 0 0 0 0 0 0 0 0 0 0 effect 0 0 0 0,intend
3,3,"The government passed a law to increase funding for renewable energy projects, in an effort to reduce carbon emissions and combat climate change.",passed,reduce,0 0 intention 0 0 0 0 0 0 0 0 0 0 0 0 0 effect 0 0 0 0 0 0 0 0,intend
4,4,"The government passed a law to increase funding for social services, in an effort to reduce poverty and inequality.",passed,reduce,0 0 intention 0 0 0 0 0 0 0 0 0 0 0 0 effect 0 0 0 0 0,intend
5,5,"The government passed a law to increase funding for public safety initiatives, in an effort to reduce crime and improve public safety.",passed,improve,0 0 intention 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 effect 0 0 0 0,intend
6,6,The United Nations Security Council voted unanimously to impose economic sanctions on Iraq in response to its invasion of Kuwait.,voted,impose,0 0 0 0 0 intention 0 0 effect 0 0 0 0 0 0 0 0 0 0 0 0,intend
7,7,"The government is introducing a new law to protect the rights of indigenous peoples, in an effort to promote cultural diversity and respect for traditional ways of life.",introducing,promote,0 0 0 intention 0 0 0 0 0 0 0 0 0 0 0 0 0 0 effect 0 0 0 0 0 0 0 0 0 0 0,intend
8,8,"The government is introducing a new law to protect the rights of refugees, in an effort to ensure safe and dignified living conditions.",introducing,ensure,0 0 0 intention 0 0 0 0 0 0 0 0 0 0 0 0 0 effect 0 0 0 0 0 0 0,intend
9,9,"The government is introducing a new law to protect the rights of women, in an effort to promote gender equality and combat discrimination.",introducing,promote,0 0 0 intention 0 0 0 0 0 0 0 0 0 0 0 0 0 effect 0 0 0 0 0 0 0,intend
10,10,"The government is introducing a new law to protect the rights of children, in an effort to ensure their safety and well-being.",Introducing,ensure,0 0 0 intention 0 0 0 0 0 0 0 0 0 0 0 0 0 effect 0 0 0 0 0 0 0 0,intend
11,11,"The government is introducing a new law to protect the rights of immigrants, in an effort to promote integration and cultural understanding.",Introducing,Promote,0 0 0 intention 0 0 0 0 0 0 0 0 0 0 0 0 0 effect 0 0 0 0 0 0,intend
12,12,"The government has passed a law to increase the minimum wage, in an effort to reduce poverty and improve living standards.",passed,reduce,0 0 0 intention 0 0 0 0 0 0 0 0 0 0 0 effect 0 0 0 0 0 0 0,intend
13,13,"The government has implemented a new policy to provide free education to all citizens, in an effort to promote economic growth and social development.",implemented,promote,0 0 0 intention 0 0 0 0 0 0 0 0 0 0 0 0 0 0 effect 0 0 0 0 0 0 0,intend
14,14,"The government has passed a law to protect the environment, in an effort to reduce pollution and conserve natural resources.",passed,reduce,0 0 0 intention 0 0 0 0 0 0 0 0 0 0 effect 0 0 0 0 0 0 0,intend
15,15,"The government has implemented a new policy to provide subsidies to farmers, in an effort to increase agricultural production and reduce food prices.",implemented,increase,0 0 0 intention 0 0 0 0 0 0 0 0 0 0 0 0 effect 0 0 0 0 0 0 0 0,intend
16,16,The government introduced a new law to protect the rights of Indigenous peoples in an effort to recognize their sovereignty.,introduced,recognize,0 0 intention 0 0 0 0 0 0 0 0 0 0 0 0 0 0 effect 0 0 0,intend
17,17,The government introduced a new law to protect the rights of religious minorities in an effort to promote religious freedom.,introduced,promote,0 0 intention 0 0 0 0 0 0 0 0 0 0 0 0 0 0 effect 0 0 0,intend
18,18,The government introduced a new law to protect the rights of workers in an effort to ensure fair wages and safe working conditions.,introduced,ensure,0 0 intention 0 0 0 0 0 0 0 0 0 0 0 0 0 effect 0 0 0 0 0 0 0,intend
19,19,The government introduced a new law to protect the rights of consumers in an effort to promote fair trade and competition.,introduced,promote,0 0 intention 0 0 0 0 0 0 0 0 0 0 0 0 0 effect 0 0 0 0 0,intend
20,20,The government introduced a new law to protect the rights of the environment in an effort to reduce pollution and conserve natural resources.,introduced,reduce,0 0 intention 0 0 0 0 0 0 0 0 0 0 0 0 0 0 effect 0 0 0 0 0 0,intend
21,21,"The government has implemented a new policy to reduce the cost of college tuition, in an effort to make higher education more accessible.",implemented,make,0 0 0 intention 0 0 0 0 0 0 0 0 0 0 0 0 0 0 effect 0 0 0 0 0 0,intend
22,22,"The government has passed a law to protect the rights of workers and ensure fair wages, in an effort to reduce income inequality.",passed,reduce,0 0 0 intention 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 effect 0 0 0 0,intend
23,23,"The government has introduced a new program to provide job training and employment opportunities for veterans, in an effort to reduce unemployment.",introduced,reduce,0 0 0 intention 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 effect 0 0 0,intend
24,24,"The government has passed a law to increase the availability of healthcare services, in an effort to improve public health.",passed,improve,0 0 0 intention 0 0 0 0 0 0 0 0 0 0 0 0 0 effect 0 0 0 0,intend
25,25,"The government has implemented a new policy to reduce the cost of prescription drugs, in an effort to make healthcare more affordable.",implemented,make,0 0 0 intention 0 0 0 0 0 0 0 0 0 0 0 0 0 0 effect 0 0 0 0 0,intend
26,26,The president proposed a new tax plan that would reduce taxes for the middle class and increase taxes for the wealthy.,Tax,Reduce,0 0 0 0 0 intention 0 0 0 effect 0 0 0 0 0 0 0 0 0 0 0 0,intend
27,27,The United Nations passed a resolution calling for an end to the conflict in the Middle East.,Resolution,End,0 0 0 0 0 intention 0 0 0 effect 0 0 0 0 0 0 0 0,intend
28,28,The Senate passed a bill to increase funding for public education.,bill,Increase,0 0 0 0 intention 0 effect 0 0 0 0 0,intend
29,29,The House of Representatives passed a bill to provide tax relief for small businesses.,bill,Relief,0 0 0 0 0 0 intention 0 0 0 effect 0 0 0 0,intend
30,30,The president signed an executive order to protect the environment from pollution.,Order,Protect,0 0 0 0 0 intention 0 effect 0 0 0 0 0,intend
31,31,The government announced a new policy to reduce carbon emissions.,Policy,Reduce,0 0 0 0 0 intention 0 effect 0 0 0,intend
32,32,The government passed a new law to protect the rights of immigrants in an effort to promote diversity.,passed,promote,0 0 intention 0 0 0 0 0 0 0 0 0 0 0 0 0 effect 0 0,intend
33,33,The government passed a new law to protect the rights of women in an effort to promote gender equality.,passed,promote,0 0 intention 0 0 0 0 0 0 0 0 0 0 0 0 0 effect 0 0 0,intend
34,34,The government passed a new law to protect the rights of LGBTQ+ individuals in an effort to promote acceptance.,passed,promote,0 0 intention 0 0 0 0 0 0 0 0 0 0 0 0 0 0 effect 0 0,intend
35,35,The government passed a new law to protect the rights of disabled persons in an effort to promote inclusion.,passed,promote,0 0 intention 0 0 0 0 0 0 0 0 0 0 0 0 0 0 effect 0 0,intend
36,36,The government passed a new law to protect the rights of children in an effort to promote their welfare.,passed,promote,0 0 intention 0 0 0 0 0 0 0 0 0 0 0 0 0 effect 0 0 0,intend
37,37,The government passed a new law to protect the rights of the elderly in an effort to ensure their dignity.,passed,ensure,0 0 intention 0 0 0 0 0 0 0 0 0 0 0 0 0 0 effect 0 0 0,intend
38,38,"The government has passed a law to increase the minimum wage, in an effort to reduce poverty and inequality.",passed,reduce,0 0 0 intention 0 0 0 0 0 0 0 0 0 0 0 effect 0 0 0 0 0,intend
39,39,"The government has passed a law to increase access to healthcare, in an effort to improve public health and reduce health disparities.",passed,improve,0 0 0 intention 0 0 0 0 0 0 0 0 0 0 0 effect 0 0 0 0 0 0 0 0,intend
40,40,"The government has passed a law to increase access to education, in an effort to reduce educational disparities and promote economic growth.",passed,reduce,0 0 0 intention 0 0 0 0 0 0 0 0 0 0 0 effect 0 0 0 0 0 0 0 0,intend
41,41,"The government has passed a law to increase access to housing, in an effort to reduce homelessness and improve living conditions.",passed,reduce,0 0 0 intention 0 0 0 0 0 0 0 0 0 0 0 effect 0 0 0 0 0 0 0,intend
42,42,"The government has passed a law to increase access to public transportation, in an effort to reduce traffic congestion and improve air quality.",passed,reduce,0 0 0 intention 0 0 0 0 0 0 0 0 0 0 0 0 effect 0 0 0 0 0 0 0 0,intend
43,43,"The government is introducing a new law to protect the rights of immigrants, in an effort to ensure fair treatment and access to services.",introducing,ensure,0 0 0 intention 0 0 0 0 0 0 0 0 0 0 0 0 0 effect 0 0 0 0 0 0 0 0,intend
44,44,"The government is introducing a new law to protect the rights of indigenous peoples, in an effort to promote cultural diversity and respect for traditional knowledge.",introducing,promote,0 0 0 intention 0 0 0 0 0 0 0 0 0 0 0 0 0 0 effect 0 0 0 0 0 0 0 0 0,intend
45,45,"The government is introducing a new law to protect the rights of women, in an effort to ensure gender equality and access to justice.",introducing,ensure,0 0 0 intention 0 0 0 0 0 0 0 0 0 0 0 0 0 effect 0 0 0 0 0 0 0 0,intend
46,46,"The government is introducing a new law to protect the rights of the disabled, in an effort to ensure access to services and equal opportunities.",introducing,ensure,0 0 0 intention 0 0 0 0 0 0 0 0 0 0 0 0 0 0 effect 0 0 0 0 0 0 0 0,intend
47,47,"The government is introducing a new law to protect the rights of LGBTQ+ individuals, in an effort to promote acceptance and inclusion.",introducing,promote,0 0 0 intention 0 0 0 0 0 0 0 0 0 0 0 0 0 0 effect 0 0 0 0 0,intend
48,48,The government passed a law to protect the rights of refugees and promote their integration into society.,passed,protect,0 0 intention 0 0 0 effect 0 0 0 0 0 0 0 0 0 0 0,intend
49,49,The government passed a law to protect the rights of religious minorities and promote religious tolerance.,passed,promote,0 0 intention 0 0 0 0 0 0 0 0 0 0 effect 0 0 0,intend
50,50,The government passed a law to protect the rights of LGBTQ+ individuals and promote equality.,passed,protect,0 0 intention 0 0 0 effect 0 0 0 0 0 0 0 0 0,intend
51,51,The government passed a law to protect the rights of victims of human trafficking and promote their rehabilitation.,passed,promote,0 0 intention 0 0 0 0 0 0 0 0 0 0 0 0 effect 0 0 0,intend
52,52,The government passed a law to protect the rights of victims of domestic violence and promote their safety.,passed,protect,0 0 intention 0 0 0 effect 0 0 0 0 0 0 0 0 0 0 0 0,intend
53,53,The government passed a law to protect the rights of victims of hate crimes and promote justice.,passed,promote,0 0 intention 0 0 0 0 0 0 0 0 0 0 0 0 effect 0 0,intend
54,54,The government passed a law to increase access to public transportation in an effort to reduce air pollution.,passed,increase,0 0 intention 0 0 0 effect 0 0 0 0 0 0 0 0 0 0 0 0,intend
55,55,The government passed a law to increase access to affordable housing in an effort to reduce homelessness.,passed,reduce,0 0 intention 0 0 0 0 0 0 0 0 0 0 0 0 effect 0 0,intend
56,56,The government passed a law to increase access to financial services in an effort to reduce poverty.,passed,reduce,0 0 intention 0 0 0 0 0 0 0 0 0 0 0 0 effect 0 0,intend
57,57,The government passed a law to increase the availability of affordable housing and reduce homelessness.,passed,increase,0 0 intention 0 0 0 effect 0 0 0 0 0 0 0 0 0,intend
58,58,The government passed a law to increase access to mental health services and reduce stigma.,passed,reduce,0 0 intention 0 0 0 0 0 0 0 0 0 0 effect 0 0,intend
59,59,The government passed a law to increase access to clean water and reduce water pollution.,passed,reduce,0 0 intention 0 0 0 0 0 0 0 0 0 effect 0 0 0,intend
60,60,The government passed a law to increase access to public transportation and reduce traffic congestion.,passed,reduce,0 0 intention 0 0 0 0 0 0 0 0 0 effect 0 0 0,intend
61,61,The government passed a law to increase access to renewable energy sources and reduce reliance on fossil fuels.,passed,reduce,0 0 intention 0 0 0 0 0 0 0 0 0 0 effect 0 0 0 0 0,intend
62,62,The government passed a law to increase access to financial services and reduce financial exclusion.,passed,reduce,0 0 intention 0 0 0 0 0 0 0 0 0 effect 0 0 0,intend
