,sentence,trigger1,trigger2
0," ,Each right entitles the shareholder to buy $100 face amount of 5% bonds due 1993 and warrants to buy 5 common shares at 30 cents a share.",right,buy
1,"The White House yesterday disclosed that Kuwait's ousted government has formally asked the U.S. to enforce the total trade embargo the United Nations has imposed on Iraq, allowing the U.S. and other nations to immediately begin stopping ships carrying Iraqi goods.",enforce,stopping
2,"Prime Minister Margaret Thatcher might, however, be receptive to any request by Jaguar Chairman Sir John Egan for the restriction's early removal to let GM amass more than 15% or mount a friendly suitor bid against Ford.",request, remove
3,"Canada's largest department store operator said the rights offering will entitle holders of its ordinary shares, except residents in the U.S. and Britain, to subscribe for two additional shares for every five shares held at a price of C$25 a share.",offering,subscribe
4,DD Acquisition said the extension is to allow this process to be completed.,extension,completed
5,Each right entitles the shareholder to buy $100 face amount of 5% bonds due 1993 and warrants to buy 5 common shares at 30 cents a share.,right,buy
6,"The government of Prime Minister Brian Mulroney has been under pressure to reduce the deficit, which is expected to reach C$30 billion this year.",pressure,reduce
7,The proceeds of the offering will be used to reduce the company's debt and to fund its expansion plans.,proceeds,reduce
8,",,The company has also announced that it will be launching a new loyalty program for its customers, which will offer rewards and discounts for frequent shoppers.",loyalty,rewards
9,",,The company has also announced that it will be investing in new technology to improve customer service and increase efficiency.",technology,improve
10,",,The company has also announced that it will be investing in new marketing initiatives to increase brand awareness and customer loyalty.",marketing,increase
11,",,The company has also announced that it will be investing in research and development to create new products and services.",research,create
12,",,The company has also announced that it will be investing in new training programs to ensure that its employees are up to date with the latest industry trends.",training,ensure
13," ,The U.S. Senate yesterday approved a bill that would impose a three-year moratorium on the importation of certain products from countries that have not signed the Nuclear Non-Proliferation Treaty.",approved,moratorium
14,",The United Nations Security Council yesterday unanimously approved a resolution that would impose a total trade embargo on Iraq, allowing the U.S. and other nations to immediately begin stopping ships carrying Iraqi goods.",embargo,stopping
15,The Canadian government has announced new regulations to ensure that foreign investors are subject to the same rules as domestic investors when it comes to investing in the country's stock markets.,regulations, ensure
16,The Canadian government has announced a new tax credit for small businesses to help them offset the costs of hiring new employees.,tax, offset
17,The Canadian government has announced a new program to help low-income families access affordable housing.,program, access
18,The Canadian government has announced a new initiative to help Indigenous communities access clean drinking water.,initiative, access
19,The Canadian government has announced a new plan to reduce greenhouse gas emissions and combat climate change.,plan, reduce
20,The Canadian government has announced a new policy to ensure that all Canadians have access to high-quality health care.,policy, access
21,The Canadian government has announced a new program to help young people gain access to post-secondary education.,program, access
22,",,The government has also announced plans to invest in renewable energy sources to reduce the country's reliance on fossil fuels.",invest,reduce
23,",,The government has also announced plans to invest in education and training programs to ensure that the country's workforce is equipped with the skills needed to compete in the global economy.",invest,compete
24,"The initiative will provide financial assistance to low-income families and individuals, as well as access to education and job training programs.",initiative,assistance
25,",,The government has also announced that it will be investing in infrastructure projects to improve transportation and communication networks.",investing,improve
26,",,The government has also announced that it will be investing in renewable energy sources to reduce the country's reliance on fossil fuels.",investing,reduce
27,",,The government has also announced that it will be investing in research and development to create new technologies and products.",investing,create
28,",,The government has also announced that it will be investing in new programs to promote economic growth and job creation.",investing,promote
29,",The government has also announced plans to introduce a new tax on luxury goods to help fund public services.",plans,fund
30, Each right entitles the shareholder to buy $100 face amount of 5% bonds due 1993 and warrants to buy 5 common shares at 30 cents a share.,right,buy
31," Canada's largest department store operator said the rights offering will entitle holders of its ordinary shares, except residents in the U.S. and Britain, to subscribe for two additional shares for every five shares held at a price of C$25 a share.",offering,subscribe
32," The United Nations Security Council yesterday unanimously approved a resolution that would impose a total trade embargo on Iraq, allowing the U.S. and other nations to immediately begin stopping ships carrying Iraqi goods.",embargo,stop
33,The company has also announced that it will be investing in new infrastructure projects to improve the quality of life in the local community.,investing,improve
34,",,The company has also announced that it will be investing in new environmental initiatives to reduce its carbon footprint.",investing,reduce
35,",,The company has also announced that it will be investing in new educational programs to help its employees develop their skills and knowledge.",investing,develop
36,",,The company has also announced that it will be investing in new social programs to support the local community.",investing,support
37," ,,The government has also announced that it will be investing in new renewable energy sources to reduce its reliance on fossil fuels.",investing,reduce
38,",,The government has also announced that it will be investing in new public transportation systems to reduce traffic congestion.",investing,reduce
39,",,The government has also announced that it will be investing in new healthcare initiatives to improve access to quality healthcare.",investing,improve access
40,",,The government has also announced that it will be investing in new housing initiatives to provide affordable housing for low-income families.",investing, housing
41,"The U.S. government yesterday announced that it will impose a total trade embargo on Iraq, allowing the U.S. and other nations to immediately begin stopping ships carrying Iraqi goods.",embargo,stopping
42,",The European Union yesterday announced that it will impose a total trade embargo on Iraq, allowing the U.S. and other nations to immediately begin stopping ships carrying Iraqi goods.",embargo,stopping
43,The European Union has passed a new law to reduce carbon emissions by 40% by ,law,reduce
44," ,The government has also announced plans to invest in social welfare programs to ensure that all citizens have access to basic services and support.",invest,acess
45,",The government has also announced plans to invest in environmental protection initiatives to reduce pollution and protect natural resources.",invest,reduce pollution 
46,",The government has also announced plans to invest in public health initiatives to improve the health and wellbeing of citizens.",invest,improve the health
47,",The government has also announced plans to invest in cultural and heritage projects to preserve the country's history and promote its cultural identity.",invest,preserve the country's heritage
48," ,The United Nations has declared a new resolution to end the conflict in the Middle East.",resolution,end 
49,",The European Union has passed a new law to reduce carbon emissions and combat climate change.",law,reduce
50,",The United States Congress has passed a new bill to provide healthcare to all citizens.",bill,provide
51,",The United Nations has passed a resolution calling for an end to the conflict in Syria.",resolution,end
52,",The United Nations has also passed a resolution condemning the use of chemical weapons in Syria.",resolution,condemning
53,",The United States has imposed new tariffs on Chinese imports in an effort to reduce the trade deficit.",tariffs,reduce
54,",The European Union has agreed to a new climate change agreement that will reduce greenhouse gas emissions.",agreement,reduce
55,",The United Nations has passed a resolution calling for an end to the use of landmines in conflict zones.",resolution,end
56," The European Commission has also proposed that the European Union should impose a ban on the import of products from Iraq, in order to enforce the UN embargo.",ban,enforce the UN embargo 
57, The United States Senate has passed a resolution calling for the immediate lifting of the economic sanctions imposed on Cuba by the United States.,resolution, lifting
58,The company said the proceeds of the offering will be used to reduce its debt and to fund its expansion plans.,proceeds,reduce
59,"The United Nations Security Council yesterday unanimously approved a resolution that would impose a total trade embargo on North Korea, allowing the U.S. and other nations to immediately begin stopping ships carrying North Korean goods.",approved a redolution,impose 
60,",The U.S. Senate yesterday approved a bill that would impose a three-year moratorium on the importation of certain products from countries that have not signed the Nuclear Non-Proliferation Treaty.",approved a bill,impose
61,But even continued military success carries political and diplomatic risks for President Bush and the U.S.,success, risks
62,The allied rejection of the last-minute Soviet-led diplomatic effort to avoid the ground war enabled Mr. Bush to seize the initiative from an Iraq seemingly bent on dictating peace terms.,rejection,seize
63," ,The government has also announced that it will be introducing new legislation to protect the environment and promote sustainable development.",legislation, protect
64,",The government has also announced that it will be introducing new initiatives to promote renewable energy sources and reduce dependence on fossil fuels.",initiatives, promote
65,",The government has also announced that it will be introducing new subsidies to support research and development in the field of clean energy.",subsidies, support
66," ,Prime Minister Margaret Thatcher might be receptive to any request by Jaguar Chairman Sir John Egan for the restriction's early removal to let GM amass more than 15% or mount a hostile takeover bid against Ford.",request,amass
67,",Prime Minister Margaret Thatcher might be receptive to any request by Jaguar Chairman Sir John Egan for the restriction's early removal to let GM amass more than 15% or mount a hostile takeover bid against Ford, while also providing financial incentives to Jaguar shareholders.",receptive, takeover
68," ,,The government has also announced plans to invest in research and development initiatives to promote innovation and technological advancement.",invest, innovation
69,",,The government has also announced plans to invest in economic development programs to create jobs and stimulate economic growth.",invest,create jobs and stimulate economic growth 
70,",,Prime Minister Margaret Thatcher might, however, be receptive to any request by Jaguar Chairman Sir John Egan for the restriction's early removal to let GM amass more than 15% or mount a friendly suitor bid against Ford.",request,mount
71," ,The European Union has passed a new law that requires all member states to reduce their carbon emissions by 30% by ",law,reduce
72,"Prime Minister Margaret Thatcher might have been willing to consider any request from Jaguar Chairman Sir John Egan to lift the restrictions early, allowing General Motors to acquire more than 15% or launch a friendly takeover bid against Ford.",request, lift
73,"The White House revealed yesterday that the deposed Kuwaiti government had formally requested the U.S. to enforce the full trade embargo imposed by the United Nations on Iraq, allowing the U.S. and other countries to start blocking ships carrying Iraqi goods immediately.",request,blocking
74,"The European Union yesterday announced a new set of sanctions against Russia, including a ban on the import of certain goods and services from the country.",sanctions,ban
75,"The United States Congress has passed a bill that will provide $2 billion in funding for renewable energy research and development.,",bill,funding
76,The United Nations has adopted a resolution that calls for an end to the use of child soldiers in armed conflicts around the world.,resolution,end
77,The European Union has announced a new initiative to promote economic integration and cooperation between member states.,initiative,integration
78,",The European Union has agreed to a new trade agreement that will reduce tariffs and other barriers to trade between member countries.",agreement,reduce
79,The Canadian government has announced a new policy to increase the number of immigrants allowed into the country each year.,policy,increase
80,The proceeds of the offering will be used to reduce the company's long-term debt and to finance capital expenditures.,offering,"reduce
"
81,"The African Union has agreed to a new treaty that will promote economic cooperation between member countries., ",treaty,cooperation
82,The Canadian government has committed to increasing the minimum wage to ensure that all Canadians can earn a living wage.,committed,earn
83,",The Canadian government has implemented a new tax credit to help low-income families pay for childcare.",implemented,help
84,",The Canadian government has introduced a new policy to ensure that all Canadians have access to quality healthcare.",introduced,access
85,",The Canadian government has implemented a new program to provide free tuition for post-secondary education for low-income students.",implemented,provide
86,",The Canadian government has created a new fund to help Indigenous communities access clean drinking water.",created,access
87,",The Canadian government has launched a new initiative to help reduce greenhouse gas emissions and combat climate change.",launched,reduce
88,",The Canadian government has introduced a new policy to ensure that all Canadians have access to quality education.",introduced,access
89,",The Canadian government has implemented a new program to provide free legal aid to low-income individuals.",implemented,provide free legal aid
90,",The Canadian government has created a new fund to help small businesses access capital and resources.",created,access
91,"The African Union has committed to the implementation of the African Continental Free Trade Area, which will create a single market for goods and services across the continent.",committed, create
92," ,The United Nations Security Council has unanimously adopted a resolution calling for an immediate ceasefire in the conflict between Israel and Palestine.",resolution, ceasefire
