,Unnamed: 0,sentence,trigger1,trigger2,tag,label
0,0,Each right entitles the shareholder to buy $100 face amount of 5% bonds due 1993 and warrants to buy 5 common shares at 30 cents a share.,right,buy,0 condition 0 0 0 0 effect 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0,enable
1,1,"The White House yesterday disclosed that Kuwait's ousted government has formally asked the U.S. to enforce the total trade embargo the United Nations has imposed on Iraq, allowing the U.S. and other nations to immediately begin stopping ships carrying Iraqi goods.",enforce,stopping,0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 condition 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 effect 0 0 0 0 0 0 0,enable
2,2,"Prime Minister Margaret Thatcher might, however, be receptive to any request by Jaguar Chairman Sir John Egan for the restriction's early removal to let GM amass more than 15% or mount a friendly suitor bid against Ford.",request,removal,0 0 0 0 0 0 0 0 0 0 condition 0 0 0 0 0 0 0 0 0 0 effect 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0,enable
3,3,"Canada's largest department store operator said the rights offering will entitle holders of its ordinary shares, except residents in the U.S. and Britain, to subscribe for two additional shares for every five shares held at a price of C$25 a share.",offering,subscribe,0 0 0 0 0 0 0 0 condition 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 effect 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0,enable
4,4,DD Acquisition said the extension is to allow this process to be completed.,extension,completed,0 0 0 0 condition 0 0 0 0 0 0 0 effect 0,enable
5,6,"The government of Prime Minister Brian Mulroney has been under pressure to reduce the deficit, which is expected to reach C$30 billion this year.",pressure,reduce,0 0 0 0 0 0 0 0 0 0 condition 0 effect 0 0 0 0 0 0 0 0 0 0 0 0 0 0,enable
6,7,The proceeds of the offering will be used to reduce the company's debt and to fund its expansion plans.,proceeds,reduce,0 condition 0 0 0 0 0 0 0 effect 0 0 0 0 0 0 0 0 0 0 0,enable
7,8,"The company has also announced that it will be launching a new loyalty program for its customers, which will offer rewards and discounts for frequent shoppers.",loyalty,rewards,0 0 0 0 0 0 0 0 0 0 0 0 condition 0 0 0 0 0 0 0 effect 0 0 0 0 0 0 0,enable
8,9,The company has also announced that it will be investing in new technology to improve customer service and increase efficiency.,technology,improve,0 0 0 0 0 0 0 0 0 0 0 0 condition 0 effect 0 0 0 0 0 0,enable
9,10,The company has also announced that it will be investing in new marketing initiatives to increase brand awareness and customer loyalty.,marketing,increase,0 0 0 0 0 0 0 0 0 0 0 0 condition 0 0 effect 0 0 0 0 0 0,enable
10,11,The company has also announced that it will be investing in research and development to create new products and services.,research,create,0 0 0 0 0 0 0 0 0 0 0 condition 0 0 0 effect 0 0 0 0 0,enable
