,generated events
0,"

(Prevent, Falling)"
1,"

Trigger1: embargo (Trigger2: terrorists)"
2,"

Trigger1 (Arms embargo): Trigger2 (Conflict)
Trigger1 (Arms embargo): Trigger2 (Nuclear weapons)
Trigger1 (Economic sanctions): Trigger2 (Interfering)
Trigger1 (Economic sanctions): Trigger2 (Supporting terrorism)
Trigger1 (Laws): Trigger2 (Gender-based violence)"
3,"

(Embargo, Spread)"
4,"

(Measures, Misinformation)
(Measures, Hate Speech)
(Measures, Proliferation)
(Measures, Chemical)
(Measures, Torture)"
5,"

(sanctions, nuclear)
(sanctions, human)
(embargo, war)
(sanctions, abuses)"
6,"

(Prevent, Misinformation)
(Prevent, Exploitation)
(Prevent, Resources)"
7,"

(Monitoring, Misinformation)
(Monitoring, Hate Speech)"
8,"

(Arms embargo, Destabilizing)
(Sanctions, Abuses)
(Sanctions, Interfering)"
9,"

(Arms embargo, Nuclear weapons)
(Economic sanctions, Human rights abuses)
(Arms embargo, Genocide)
(Economic sanctions, Repressing)"
10,"

Trigger1: Surveillance (Trigger2: Terrorism)"
11,"

Trigger1: Sanctions (Trigger1)
Trigger2: Destabilizing (Trigger2)"
12,"

(Sanctions,Nuclear Weapons)
(Sanctions,Nuclear Weapons)
(Sanctions,Human Rights)
(Sanctions,War Crimes)
(Sanctions,Terrorism)"
13,"

(sanctions, nuclear)
(no-fly, violence)
(sanctions, destabilizing)
(arms, violence)
(sanctions, terrorism)
(no-fly, violence)"
14,"

Trigger1: Sanctions (Trigger2: Weapons)
Trigger1: Sanctions (Trigger2: Destabilizing)"
15,"

(Monitoring, Cybercrime)
(Transparency, Money laundering)"
16,"

(rift, embargo)
(sanctions, nuclear)
(embargo, violence)
(sanctions, destabilizing)"
17,"

(measures, illegal sale)
(measures, illegal trade)
(measures, child labor)
(measures, counterfeit)"
18,"

(prevent,spread)
(prevent,exploitation)
(prevent,trafficking)
(prevent,proliferation)
(prevent,terrorism)
(prevent,hate)
(prevent,cybercrime)
(prevent,vulnerable)
(prevent,abuse)
(prevent,misuse)
(prevent,human)
(prevent,exploitation)
(prevent,corruption)
(prevent,environment)
(prevent,misinformation)
(prevent,fake)
(prevent,hate)
(prevent,exploitation)
(prevent,trafficking)
(prevent,abuse)"
19,"

(Arms embargo, WMD)
(Sanctions, Nuclear)
(Sanctions, Dissent)"
20,"

(Arms embargo, Chemical weapons)
(Arms embargo, Terrorist activities)"
21,"

(sanctions, destabilizing)
(embargo, nuclear)
(sanctions, nuclear)
(embargo, abuses)
(sanctions, destabilizing)"
22,"

(Embargo, Nuclear)"
23,"

(Security, Trafficking)
(Security, Wildlife)"
24,"

(Laws, Exploitation)
(Laws, Hate)
(Laws, Unfair)
(Laws, Trafficking)
(Laws, Pollution)
(Laws, Infectious)
(Laws, Cybercrime)
(Laws, Proliferation)"
25,"

(sanctions,nuclear)
(embargo,violence)
(sanctions,destabilizing)"
26,"

(Laws, Exploitation)
(Laws, Cruelty)"
27,"

Trigger1: Monitoring (Trigger2: Hate Speech)"
28,"

Trigger1 (arms embargo) Trigger2 (terrorists)
Trigger1 (arms embargo) Trigger2 (piracy)
Trigger1 (arms embargo) Trigger2 (terrorists)"
29,"

(Chemical, Prevent)
(Biological, Prevent)
(Cyber, Prevent)
(Autonomous, Prevent)
(Surveillance, Prevent)
(Facial, Prevent)
(Data, Prevent)
(Artificial, Prevent)
(Autonomous, Prevent)
(Unmanned, Prevent)
(Autonomous, Prevent)
(Chemical, Prevent)
(Biological, Prevent)
(Cyber, Prevent)"
30,"

(Travel ban, Weapons of mass destruction)
(Economic sanctions, Interfering)"
31,"

(Embargo, Destabilizing)
(Embargo, Nuclear)
(Embargo, Nuclear)"
32,"

(measures, exploitation)
(measures, cybercrime)"
33,"

(Sanctions, Destabilizing)"
34,"

Trigger1: embargo (Trigger2: terrorism)"
35,"

(Regulation, Exploitation)
(Healthcare, Disease)"
36,"

(Travel ban, Destabilizing)
(Arms embargo, Destabilizing)
(Economic sanctions, Developing)"
37,"

Trigger1: Sanctions (Trigger1)
Trigger2: Nuclear (Trigger2)"
38,"

Trigger1 (sanctions) Trigger2 (nuclear)
Trigger1 (embargo) Trigger2 (chemical)"
39,"

(Sanctions, Nuclear)"
40,"

(Laws, Dumping)
(Laws, Trade)"
41,"

Trigger1: Monitoring (Trigger2: Exploitation)"
42,"

(Monitoring, False)
(Monitoring, Exploitation)
(Monitoring, Abuse)"
43,"

Trigger1: embargo (Trigger2: violence)"
44,"

(Arms embargo, WMD)
(Arms embargo, Destabilizing)"
45,"

(measures, use)
(measures, exploitation)
(measures, trafficking)
(measures, spread)
(measures, spread)
(measures, financing)
(measures, proliferation)"
46,"

(Arms embargo, Violence)
(Economic sanctions, Destabilizing)
(Measures, Hate speech)"
47,"

(Regulation, Misinformation)
(Surveillance, Terrorism)"
48,"

(Prevent, Polluting)
(Prevent, Price-fixing)
(Prevent, Discriminating)
(Prevent, Deceptive)
(Prevent, Exploiting)
(Prevent, Insider)
(Prevent, Bribery)"
49,"

(Arms embargo, Prevent, Prevent, Prevent, Measures, Sanctions)"
50,"

Trigger1: embargo (Trigger2: terrorism)"
51,"

(Arms embargo, Proliferation)
(Arms embargo, Spread)
(Arms embargo, Violence)
(Arms embargo, Piracy)
(Arms embargo, Conflict)
(Arms embargo, Weapons)"
52,"

(Laws,Exploitation)
(Laws,Children)
(Laws,Women)"
53,"

(Sanctions, Interfering)
(Embargo, Nuclear)
(Sanctions, Nuclear)
(Embargo, Violence)"
54,"

Trigger1: embargo (Trigger2: destabilizing)"
55,"

(Monitoring, Terrorism)
(Monitoring, Hate Speech)"
56,"

Trigger1: embargo (Trigger2: abuses)"
57,"

(measures,spread)
(measures,trafficking)
(measures,smuggling)
(measures,sale)
(measures,sale)
(measures,harvesting)"
58,"

(proliferation, weapons)
(trafficking, drugs)
(smuggling, people)
(exploitation, natural)
(dumping, hazardous)
(sale, firearms)
(torture, use)
(force, use)
(surveillance, use)
(drones, use)
(biometric, data)
(artificial, intelligence)
(genetic, engineering)
(nuclear, weapons)"
59,"

(Emissions, Destruction)"
60,"

(Arms embargo, Using weapons)
(Economic sanctions, Developing nuclear weapons)
(Arms embargo, Using weapons)"
61,"

(Monitoring, Cybercrime)
(Enforcement, Organized crime)
(Awareness, Human trafficking)"
62,"

(Proliferation, Nuclear)
(Spread, Terrorism)"
63,"

Trigger1: Protect (Trigger2: War)"
64,"

Trigger1: Surveillance (Trigger2: Terrorism)"
65,"

(Prevention, Spread)
(Prevention, Exploitation)
(Prevention, Trafficking)
(Prevention, Exploitation)
(Prevention, Dumping)
(Prevention, Smuggling)"
66,"

Trigger1: Monitoring (Trigger2: Hate Speech)"
67,"

(measures, exploitation)
(measures, children)"
68,"

(sanctions, interfering)
(travel ban, nuclear)
(sanctions, terrorism)"
69,"

(Embargo, Destabilizing)
(Sanctions, Interfering)
(Travel ban, Destabilizing)
(Laws, Protect)
(Laws, Protect)"
70,"

(measures, exploitation)
(measures, abuse)
(surveillance, crime)
(awareness, trafficking)"
71,"

(measures,spread)
(measures,exploitation)
(measures,trafficking)
(measures,weapons)
(measures,people)
(measures,resources)
(measures,wildlife)"
72,"

(Inspections, Exploitation)
(Border Security, Drugs)
(Border Security, Weapons)
(Border Security, People)
(Border Security, Wildlife)
(Border Security, Endangered Species)"
73,"

(sanctions, aggression)
(embargo, nuclear)
(sanctions, nuclear)
(embargo, violence)"
74,"

(Sanctions,Terrorism)
(Legislation,Unethical)
(Embargo,Weapons)
(Laws,Trafficking)
(Laws,Exploitation)
(Laws,Harvesting)"
75,"

(Border security, Trafficking)
(Inspections, Exploitation)
(Penalties, Exploitation)"
76,"

Trigger1: Steps (Trigger2: Spread)"
77,"

Trigger1 (Arms embargo) Trigger2 (Abuses)
Trigger1 (Arms embargo) Trigger2 (Destabilizing)
Trigger1 (Arms embargo) Trigger2 (Supporting)
Trigger1 (Economic sanctions) Trigger2 (Developing)"
78,"

(Legislation, Exploitation)
(Laws, Pollution)
(Laws, Discrimination)
(Laws, Exploitation)
(Laws, Cruelty)"
79,"

(Laws, Hate Speech)
(Laws, Corruption)
(Laws, Misuse)
(Laws, Abuse)"
80,"

(Travel, Terrorism)
(Embargo, Destabilizing)"
81,"

Trigger1: Measures (Trigger2: Terrorism)"
82,"

(Inspections, Exploitation)"
83,"

(Sanctions, Interfering)
(Embargo, Acquiring)
(Sanctions, Developing)"
84,"

Sanctions (trigger1) and Nuclear Weapons (trigger2)
Coronavirus (trigger1) and Spread (trigger2)
Tariffs (trigger1) and Unfair Competition (trigger2)
Measures (trigger1) and Money Laundering (trigger2)
Arms Embargo (trigger1) and Proliferation (trigger2)
Sanctions (trigger1) and Human Rights Abuses (trigger2)
Sanctions (trigger1) and Nuclear Weapons (trigger2)
Arms Embargo (trigger1) and Destabilizing (trigger2)"
85,"

(Prevent, Polluting)
(Prevent, Discriminating)
(Prevent, Price-fixing)
(Prevent, Exploiting)"
86,"

(Arms embargo, Developing)
(Arms embargo, Acquiring)
(Arms embargo, Supporting)"
87,"

(measures, terrorism)
(measures, corruption)
(measures, trafficking)
(measures, drug)
(measures, abuses)
(measures, degradation)
(measures, disease)"
88,"

(Arms embargo, Nuclear proliferation)
(Sanctions, Nuclear weapons)
(Arms embargo, Violence)"
89,"

Trigger1: embargo (Trigger2: destabilizing)"
90,"

Trigger1: Legislation (Trigger2: Exploiting)"
91,"

Trigger1: Sanctions (Trigger1)
Trigger2: Interfering (Trigger2)"
92,"

(sanctions, abuses)
(sanctions, destabilizing)
(sanctions, nuclear)
(sanctions, abuses)
(sanctions, destabilizing)
(sanctions, weapons)
(sanctions, abuses)"
93,"

(Measures,Spread)
(Awareness,Hate)
(Regulation,False)"
94,"

(Sanctions, Destabilizing)
(Embargo, Nuclear)
(Sanctions, Nuclear)
(Embargo, Destabilizing)"
95,"

(Sanctions, Proliferation)
(Embargo, Spread)
(Sanctions, Financing)
(Travel Ban, Spread)"
96,"

Trigger1: Laws (Trigger2: Exploitation)"
