,sentence,events
0," ,Each right entitles the shareholder to buy $100 face amount of 5% bonds due 1993 and warrants to buy 5 common shares at 30 cents a share.",trigger1: entitles (trigger2: buy)
1,"The approval, which had been expected, permits West Germany's second-largest bank to acquire shares of the French investment bank.","trigger1: approval (trigger1)
trigger2: acquire (trigger2)"
2,"Prime Minister Margaret Thatcher might, however, be receptive to any request by Jaguar Chairman Sir John Egan for the restriction's early removal to let GM amass more than 15% or mount a friendly suitor bid against Ford.","trigger1: request
trigger2: removal"
3,Dow Jones said it extended the offer to allow shareholders time to review a supplement to the Dow Jones tender offer circular that it mailed last Friday.,"trigger1: offer (dow jones)
trigger2: review (shareholders)"
4,"The White House yesterday disclosed that Kuwait's ousted government has formally asked the U.S. to enforce the total trade embargo the United Nations has imposed on Iraq, allowing the U.S. and other nations to immediately begin stopping ships carrying Iraqi goods.","trigger1: embargo (trigger2: enforce) 
trigger1: kuwait (trigger2: ask)"
5,But even continued military success carries political and diplomatic risks for President Bush and the U.S. The allied rejection of the last-minute Soviet-led diplomatic effort to avoid the ground war enabled Mr. Bush to seize the initiative from an Iraq seemingly bent on dictating peace terms.,"trigger1 (military): success
trigger2 (diplomatic): risks"
6,"The White House yesterday disclosed that Kuwait's ousted government has formally asked the U.S. to enforce the total trade embargo the United Nations has imposed on Iraq, allowing the U.S. and other nations to immediately begin stopping ships carrying Iraqi goods.","trigger1: embargo (trigger2: enforce) 
trigger1: kuwait (trigger2: ask)"
7,"The approval, which had been expected, permits West Germany's second-largest bank to acquire shares of the French investment bank.","trigger1: approval (trigger1)
trigger2: acquire (trigger2)"
8,"Prime Minister Margaret Thatcher might, however, be receptive to any request by Jaguar Chairman Sir John Egan for the restriction's early removal to let GM amass more than 15% or mount a friendly suitor bid against Ford.",(request) (remove)
9,"The White House yesterday disclosed that Kuwait's ousted government has formally asked the U.S. to enforce the total trade embargo the United Nations has imposed on Iraq, allowing the U.S. and other nations to immediately begin stopping ships carrying Iraqi goods.","trigger1: embargo (trigger2: enforce) 
trigger1: kuwait (trigger2: ask)"
10,"Canada's largest department store operator said the rights offering will entitle holders of its ordinary shares, except residents in the U.S. and Britain, to subscribe for two additional shares for every five shares held at a price of C$25 a share.",trigger1: offering (trigger2: subscribe)
11,DD Acquisition said the extension is to allow this process to be completed.,trigger1: extension (trigger2: completed)
12, ,"(tall)
(scoring)
(moves)
(focus)"
13,"Canada's largest department store operator said the rights offering will entitle holders of its ordinary shares, except residents in the U.S. and Britain, to subscribe for two additional shares for every five shares held at a price of C$25 a share.",trigger1: offering (trigger2: subscribe)
14,"The approval, which had been expected, permits West Germany's second-largest bank to acquire shares of the French investment bank.","trigger1: approval (trigger1)
trigger2: acquire (trigger2)"
15,Each right entitles the shareholder to buy $100 face amount of 5% bonds due 1993 and warrants to buy 5 common shares at 30 cents a share.,trigger1: entitles (trigger2: buy)
16,"Prime Minister Margaret Thatcher might, however, be receptive to any request by Jaguar Chairman Sir John Egan for the restriction's early removal to let GM amass more than 15% or mount a friendly suitor bid against Ford.","trigger1: request
trigger2: removal"
17,"The approval, which had been expected, permits West Germany's second-largest bank to acquire shares of the French investment bank.","trigger1: approval (trigger1)
trigger2: acquire (trigger2)"
18,"Canada's largest department store operator said the rights offering will entitle holders of its ordinary shares, except residents in the U.S. and Britain, to subscribe for two additional shares for every five shares held at a price of C$25 a share.",trigger1: offering (trigger2: subscribe)
19,"Prime Minister Margaret Thatcher might, however, be receptive to any request by Jaguar Chairman Sir John Egan for the restriction's early removal to let GM amass more than 15% or mount a friendly suitor bid against Ford.","trigger1: request
trigger2: removal"
20,Each right entitles the shareholder to buy $100 face amount of 5% bonds due 1993 and warrants to buy 5 common shares at 30 cents a share.,trigger1: entitles (trigger2: buy)
21," ,The French government has been encouraging the merger of the two banks, as it would create a larger, more competitive financial institution. ,The European Commission has also been supportive of the merger, as it would create a larger, more competitive financial institution in the European market. ,The merger would create a financial institution with a combined market capitalization of more than $20 billion, making it one of the largest banks in Europe. ,The merger would also create a financial institution with a combined market capitalization of more than $20 billion, making it one of the largest banks in Europe. ,The merger would also create a financial institution with a presence in more than 20 countries, giving it a global reach. ,The merger would also create a financial institution with a presence in more than 20 countries, giving it a global reach and allowing it to compete more effectively in the global market. ,The merger would also create a financial institution with a presence in more than 20 countries, giving it a global reach and allowing it to compete more effectively in the global market, while also providing a more diversified portfolio of services.","(merger) (encouraging)
(merger) (supportive)
(capitalization) (larger)
(capitalization) (combined)
(presence) (global)
(presence) (diversified)"
22,"Prime Minister Margaret Thatcher might, however, be receptive to any request by Jaguar Chairman Sir John Egan for the restriction's early removal to let GM amass more than 15% or mount a friendly suitor bid against Ford.","trigger1: request
trigger2: removal"
23,"The approval, which had been expected, permits West Germany's second-largest bank to acquire shares of the French investment bank.","trigger1: approval (trigger1)
trigger2: acquire (trigger2)"
24,"Canada's largest department store operator said the rights offering will entitle holders of its ordinary shares, except residents in the U.S. and Britain, to subscribe for two additional shares for every five shares held at a price of C$25 a share.",trigger1: offering (trigger2: subscribe)
25,"The White House yesterday disclosed that Kuwait's ousted government has formally asked the U.S. to enforce the total trade embargo the United Nations has imposed on Iraq, allowing the U.S. and other nations to immediately begin stopping ships carrying Iraqi goods.","trigger1: embargo (trigger2: enforce) 
trigger1: kuwait (trigger2: ask)"
