,Unnamed: 0,sentence,trigger1,trigger2,tag,label
0,0,The government has implemented a series of laws to protect workers from unfair labor practices.,Laws,Unfair Labor Practices,0 0 0 0 0 0 0 prevention 0 0 0 0 effect effect effect 0,prevent
1,1,The government has implemented a series of laws to protect the environment from pollution.,Laws,Pollution,0 0 0 0 0 0 0 prevention 0 0 0 0 0 effect 0,prevent
2,2,The government has implemented a series of laws to protect the public from dangerous products.,Laws,Dangerous Products,0 0 0 0 0 0 0 prevention 0 0 0 0 0 effect effect 0,prevent
3,3,The government has implemented a series of laws to protect the public from fraudulent financial practices.,Laws,Fraudulent Financial Practices,0 0 0 0 0 0 0 prevention 0 0 0 0 0 effect effect effect 0,prevent
4,4,"The government has implemented a series of measures to prevent the illegal trafficking of drugs, including increased border security and increased penalties.",Measures,Trafficking,0 0 0 0 0 0 0 prevention 0 0 0 0 effect 0 0 0 0 0 0 0 0 0 0 0,prevent
5,5,"The government has implemented a series of measures to prevent the illegal trafficking of people, including increased border security and increased penalties.",Security,Trafficking,0 0 0 0 0 0 0 0 0 0 0 0 effect 0 0 0 0 0 prevention 0 0 0 0 0,prevent
6,6,The United States has imposed economic sanctions on North Korea in an effort to prevent the country from developing nuclear weapons.,Sanctions,Nuclear,0 0 0 0 0 0 prevention 0 0 0 0 0 0 0 0 0 0 0 0 effect 0 0,prevent
7,7,The United Nations has imposed an arms embargo on Sudan in an effort to prevent further violence and human rights abuses.,Embargo,Violence,0 0 0 0 0 0 0 prevention 0 0 0 0 0 0 0 0 effect 0 0 0 0 0,prevent
8,8,The United Nations has imposed an arms embargo on Libya in an effort to prevent the country from destabilizing the region.,Arms embargo,Destabilizing,0 0 0 0 0 0 prevention prevention 0 0 0 0 0 0 0 0 0 0 effect 0 0 0,prevent
9,9,The United States has imposed economic sanctions on Iran in an effort to prevent the country from developing nuclear weapons.,Economic sanctions,Nuclear weapons,0 0 0 0 0 prevention prevention 0 0 0 0 0 0 0 0 0 0 0 effect effect 0,prevent
10,10,The United Nations has imposed a trade embargo on Sudan in an effort to prevent the country from exporting weapons.,Trade embargo,Exporting,0 0 0 0 0 0 prevention prevention 0 0 0 0 0 0 0 0 0 0 effect 0 0,prevent
11,11,The United States has imposed economic sanctions on Cuba in an effort to prevent the country from supporting terrorism.,Economic sanctions,Supporting,0 0 0 0 0 prevention prevention 0 0 0 0 0 0 0 0 0 0 effect 0 0,prevent
12,12,The United Nations has imposed a travel ban on certain individuals in an effort to prevent them from engaging in activities that could destabilize the region.,Travel ban,destabilize,0 0 0 0 0 0 prevention prevention 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 effect 0 0 0,prevent
13,13,The United Nations has imposed a travel ban on certain individuals in an effort to prevent the spread of terrorism.,Travel ban,Terrorism,0 0 0 0 0 0 prevention prevention 0 0 0 0 0 0 0 0 0 0 0 effect 0,prevent
14,14,The United Nations has imposed a trade embargo on certain countries in an effort to prevent the spread of weapons of mass destruction.,Trade embargo,Weapons,0 0 0 0 0 0 prevention prevention 0 0 0 0 0 0 0 0 0 0 0 effect 0 0 0 0,prevent
15,15,The European Union has imposed economic sanctions on Russia in an effort to prevent the country from interfering in Ukraine's internal affairs.,Sanctions,Interfering,0 0 0 0 0 0 prevention 0 0 0 0 0 0 0 0 0 0 effect 0 0 0 0 0 0,prevent
16,16,The United States has imposed economic sanctions on Iran in an effort to prevent the country from developing nuclear weapons.,Sanctions,Nuclear,0 0 0 0 0 0 prevention 0 0 0 0 0 0 0 0 0 0 0 effect 0 0,prevent
17,17,The United Nations has imposed an arms embargo on Libya in an effort to prevent the country from committing human rights abuses.,Embargo,Abuses,0 0 0 0 0 0 0 prevention 0 0 0 0 0 0 0 0 0 0 0 0 0 effect 0,prevent
