,sentence,trigger1,trigger2
0," ,The government passed a law to increase funding for public education, in an effort to improve educational outcomes.",passed,improve
1,",The government passed a law to increase funding for infrastructure projects, in an effort to create jobs and stimulate economic growth.",passed,create
2,",The government passed a law to increase funding for research and development, in an effort to promote technological innovation.",passed,promote
3,",The government passed a law to increase funding for renewable energy projects, in an effort to reduce carbon emissions and combat climate change.",passed,reduce
4,",The government passed a law to increase funding for social services, in an effort to reduce poverty and inequality.",passed,reduce
5,",The government passed a law to increase funding for public safety initiatives, in an effort to reduce crime and improve public safety.",passed,improve
6," ,The United Nations Security Council voted unanimously to impose economic sanctions on Iraq in response to its invasion of Kuwait.",voted,impose
7,",The government is introducing a new law to protect the rights of indigenous peoples, in an effort to promote cultural diversity and respect for traditional ways of life.",introducing,promote
8,",The government is introducing a new law to protect the rights of refugees, in an effort to ensure safe and dignified living conditions.",introducing,ensure
9,",The government is introducing a new law to protect the rights of women, in an effort to promote gender equality and combat discrimination.",introducing,promote
10," ,The government is introducing a new law to protect the rights of children, in an effort to ensure their safety and well-being.",Introducing,ensure
11,",The government is introducing a new law to protect the rights of immigrants, in an effort to promote integration and cultural understanding.",Introducing,Promote
12," ,The government has passed a law to increase the minimum wage, in an effort to reduce poverty and improve living standards.",passed,reduce
13,",The government has implemented a new policy to provide free education to all citizens, in an effort to promote economic growth and social development.",implemented,promte
14,",The government has passed a law to protect the environment, in an effort to reduce pollution and conserve natural resources.",passed,reduce
15,",The government has implemented a new policy to provide subsidies to farmers, in an effort to increase agricultural production and reduce food prices.",implemented,increase
16," ,The government introduced a new law to protect the rights of Indigenous peoples in an effort to recognize their sovereignty.",introduced,recognize
17,",The government introduced a new law to protect the rights of religious minorities in an effort to promote religious freedom.",introduced,promote
18,",The government introduced a new law to protect the rights of workers in an effort to ensure fair wages and safe working conditions.",introduced,ensure
19,",The government introduced a new law to protect the rights of consumers in an effort to promote fair trade and competition.",introduced,promote
20,",The government introduced a new law to protect the rights of the environment in an effort to reduce pollution and conserve natural resources.",introduced,reduce
21," ,The government has implemented a new policy to reduce the cost of college tuition, in an effort to make higher education more accessible.",implemented,make
22,",The government has passed a law to protect the rights of workers and ensure fair wages, in an effort to reduce income inequality.",passed,reduce
23,",The government has introduced a new program to provide job training and employment opportunities for veterans, in an effort to reduce unemployment.",introduced,reduce
24,",The government has passed a law to increase the availability of healthcare services, in an effort to improve public health.",passed,improve
25,",The government has implemented a new policy to reduce the cost of prescription drugs, in an effort to make healthcare more affordable.",implemented,make
26," ,The president proposed a new tax plan that would reduce taxes for the middle class and increase taxes for the wealthy.",Tax,Reduce
27,",The United Nations passed a resolution calling for an end to the conflict in the Middle East.",Resolution,End
28,",The Senate passed a bill to increase funding for public education.",bill,Increase
29,",The House of Representatives passed a bill to provide tax relief for small businesses.",bill,Relief
30,",The president signed an executive order to protect the environment from pollution.",Order,Protect
31,",The government announced a new policy to reduce carbon emissions.",Policy,Reduce
32," ,The government passed a new law to protect the rights of immigrants in an effort to promote diversity.",passed,promote
33,",The government passed a new law to protect the rights of women in an effort to promote gender equality.",passed,promote
34,",The government passed a new law to protect the rights of LGBTQ+ individuals in an effort to promote acceptance.",passed,promote
35,",The government passed a new law to protect the rights of disabled persons in an effort to promote inclusion.",passed,promote
36,",The government passed a new law to protect the rights of children in an effort to promote their welfare.",passed,promote
37,",The government passed a new law to protect the rights of the elderly in an effort to ensure their dignity.",passed,ensure
38," ,The government has passed a law to increase the minimum wage, in an effort to reduce poverty and inequality.",passed,reduce
39,",The government has passed a law to increase access to healthcare, in an effort to improve public health and reduce health disparities.",passed,improve
40,",The government has passed a law to increase access to education, in an effort to reduce educational disparities and promote economic growth.",passed,reduce
41,",The government has passed a law to increase access to housing, in an effort to reduce homelessness and improve living conditions.",passed,reduce
42,",The government has passed a law to increase access to public transportation, in an effort to reduce traffic congestion and improve air quality.",passed,reduce
43," ,The government is introducing a new law to protect the rights of immigrants, in an effort to ensure fair treatment and access to services.",introducing,ensure
44,",The government is introducing a new law to protect the rights of indigenous peoples, in an effort to promote cultural diversity and respect for traditional knowledge.",introducing,promote
45,",The government is introducing a new law to protect the rights of women, in an effort to ensure gender equality and access to justice.",introducing,ensure
46,",The government is introducing a new law to protect the rights of the disabled, in an effort to ensure access to services and equal opportunities.",introducing,ensure
47,",The government is introducing a new law to protect the rights of LGBTQ+ individuals, in an effort to promote acceptance and inclusion.",introducing,promote
48," ,The government passed a law to protect the rights of refugees and promote their integration into society.",passed,protect
49,",The government passed a law to protect the rights of religious minorities and promote religious tolerance.",passed,promote
50,",The government passed a law to protect the rights of LGBTQ+ individuals and promote equality.",passed,protect
51,",The government passed a law to protect the rights of victims of human trafficking and promote their rehabilitation.",passed,promote
52,",The government passed a law to protect the rights of victims of domestic violence and promote their safety.",passed,protect
53,",The government passed a law to protect the rights of victims of hate crimes and promote justice.",passed,promote
54," ,The government passed a law to increase access to public transportation in an effort to reduce air pollution.",passed,increase
55,",The government passed a law to increase access to affordable housing in an effort to reduce homelessness.",passed,reduce
56,",The government passed a law to increase access to financial services in an effort to reduce poverty.",passed,reduce
